"Questao";"Opcao";"Proficiencia";"Porcentagem"
"13 - Na sua casa tem computador?";"Não tem.";"Insuficiente";"0.307692307692308"
"13 - Na sua casa tem computador?";"Não tem.";"Basico";"0.215384615384615"
"13 - Na sua casa tem computador?";"Não tem.";"Proficiente";"0.156498673740053"
"13 - Na sua casa tem computador?";"Não tem.";"Avançado";"0.119402985074627"
"13 - Na sua casa tem computador?";"Sim, um.";"Insuficiente";"0.564102564102564"
"13 - Na sua casa tem computador?";"Sim, um.";"Basico";"0.538461538461538"
"13 - Na sua casa tem computador?";"Sim, um.";"Proficiente";"0.535809018567639"
"13 - Na sua casa tem computador?";"Sim, um.";"Avançado";"0.537313432835821"
"13 - Na sua casa tem computador?";"Sim, dois.";"Insuficiente";"0.0512820512820513"
"13 - Na sua casa tem computador?";"Sim, dois.";"Basico";"0.190769230769231"
"13 - Na sua casa tem computador?";"Sim, dois.";"Proficiente";"0.225464190981432"
"13 - Na sua casa tem computador?";"Sim, dois.";"Avançado";"0.216417910447761"
"13 - Na sua casa tem computador?";"Sim, três.";"Insuficiente";"0.0769230769230769"
"13 - Na sua casa tem computador?";"Sim, três.";"Basico";"0.0523076923076923"
"13 - Na sua casa tem computador?";"Sim, três.";"Proficiente";"0.0557029177718833"
"13 - Na sua casa tem computador?";"Sim, três.";"Avançado";"0.0970149253731343"
"13 - Na sua casa tem computador?";"Sim, quatro ou mais.";"Insuficiente";"0"
"13 - Na sua casa tem computador?";"Sim, quatro ou mais.";"Basico";"0.00307692307692308"
"13 - Na sua casa tem computador?";"Sim, quatro ou mais.";"Proficiente";"0.0212201591511936"
"13 - Na sua casa tem computador?";"Sim, quatro ou mais.";"Avançado";"0.0223880597014925"
"13 - Na sua casa tem computador?";"NI";"Insuficiente";"0"
"13 - Na sua casa tem computador?";"NI";"Basico";"0"
"13 - Na sua casa tem computador?";"NI";"Proficiente";"0.00530503978779841"
"13 - Na sua casa tem computador?";"NI";"Avançado";"0.00746268656716418"
"15 - Na sua casa tem quartos para dormir?";"Sim, um.";"Insuficiente";"0.0256410256410256"
"15 - Na sua casa tem quartos para dormir?";"Sim, um.";"Basico";"0.00923076923076923"
"15 - Na sua casa tem quartos para dormir?";"Sim, um.";"Proficiente";"0.0026525198938992"
"15 - Na sua casa tem quartos para dormir?";"Sim, um.";"Avançado";"0.00746268656716418"
"15 - Na sua casa tem quartos para dormir?";"Sim, dois.";"Insuficiente";"0.307692307692308"
"15 - Na sua casa tem quartos para dormir?";"Sim, dois.";"Basico";"0.270769230769231"
"15 - Na sua casa tem quartos para dormir?";"Sim, dois.";"Proficiente";"0.19893899204244"
