"Questao";"Opcao";"Proficiencia";"Porcentagem"
"13 - Na sua casa tem computador?";"Não tem.";"IN";"0.809575625680087"
"13 - Na sua casa tem computador?";"Não tem.";"BA";"0.722095671981777"
"13 - Na sua casa tem computador?";"Não tem.";"PR";"1"
"13 - Na sua casa tem computador?";"Sim, um.";"IN";"0.14689880304679"
"13 - Na sua casa tem computador?";"Sim, um.";"BA";"0.216400911161731"
"13 - Na sua casa tem computador?";"Sim, um.";"PR";"0"
"13 - Na sua casa tem computador?";"Sim, dois.";"IN";"0.0184983677910773"
"13 - Na sua casa tem computador?";"Sim, dois.";"BA";"0.0318906605922551"
"13 - Na sua casa tem computador?";"Sim, dois.";"PR";"0"
"13 - Na sua casa tem computador?";"Sim, três.";"IN";"0.00217627856365615"
"13 - Na sua casa tem computador?";"Sim, três.";"BA";"0"
"13 - Na sua casa tem computador?";"Sim, três.";"PR";"0"
"13 - Na sua casa tem computador?";"Sim, quatro ou mais.";"IN";"0.00326441784548422"
"13 - Na sua casa tem computador?";"Sim, quatro ou mais.";"BA";"0.00227790432801822"
"13 - Na sua casa tem computador?";"Sim, quatro ou mais.";"PR";"0"
"13 - Na sua casa tem computador?";"NI";"IN";"0.0195865070729053"
"13 - Na sua casa tem computador?";"NI";"BA";"0.0273348519362187"
"13 - Na sua casa tem computador?";"NI";"PR";"0"
"15 - Na sua casa tem quartos para dormir?";"Não tem.";"IN";"0.0130576713819369"
"15 - Na sua casa tem quartos para dormir?";"Não tem.";"BA";"0.00683371298405467"
"15 - Na sua casa tem quartos para dormir?";"Não tem.";"PR";"0"
"15 - Na sua casa tem quartos para dormir?";"Sim, um.";"IN";"0.0870511425462459"
"15 - Na sua casa tem quartos para dormir?";"Sim, um.";"BA";"0.0683371298405467"
"15 - Na sua casa tem quartos para dormir?";"Sim, um.";"PR";"0"
"15 - Na sua casa tem quartos para dormir?";"Sim, dois.";"IN";"0.290533188248096"
"15 - Na sua casa tem quartos para dormir?";"Sim, dois.";"BA";"0.309794988610478"
"15 - Na sua casa tem quartos para dormir?";"Sim, dois.";"PR";"0.428571428571429"
"15 - Na sua casa tem quartos para dormir?";"Sim, três.";"IN";"0.410228509249184"
"15 - Na sua casa tem quartos para dormir?";"Sim, três.";"BA";"0.403189066059225"
"15 - Na sua casa tem quartos para dormir?";"Sim, três.";"PR";"0.428571428571429"
"15 - Na sua casa tem quartos para dormir?";"Sim, quatro ou mais.";"IN";"0.163220892274211"
"15 - Na sua casa tem quartos para dormir?";"Sim, quatro ou mais.";"BA";"0.173120728929385"
"15 - Na sua casa tem quartos para dormir?";"Sim, quatro ou mais.";"PR";"0.142857142857143"
"15 - Na sua casa tem quartos para dormir?";"NI";"IN";"0.0359085963003264"
"15 - Na sua casa tem quartos para dormir?";"NI";"BA";"0.0387243735763098"
"15 - Na sua casa tem quartos para dormir?";"NI";"PR";"0"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Nunca estudou.";"IN";"0.0631120783460283"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Nunca estudou.";"BA";"0.061503416856492"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Nunca estudou.";"PR";"0"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Não completou a 4.ª série/5.º ano.";"IN";"0.187159956474429"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Não completou a 4.ª série/5.º ano.";"BA";"0.170842824601367"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Não completou a 4.ª série/5.º ano.";"PR";"0.285714285714286"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano.";"IN";"0.183895538628945"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano.";"BA";"0.184510250569476"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano.";"PR";"0.142857142857143"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou a 8.ª série/9.º ano, mas não completou o Ensino Médio.";"IN";"0.101196953210011"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou a 8.ª série/9.º ano, mas não completou o Ensino Médio.";"BA";"0.132118451025057"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou a 8.ª série/9.º ano, mas não completou o Ensino Médio.";"PR";"0.285714285714286"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou o Ensino Médio, mas não completou a Faculdade.";"IN";"0.126224156692057"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou o Ensino Médio, mas não completou a Faculdade.";"BA";"0.157175398633257"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou o Ensino Médio, mas não completou a Faculdade.";"PR";"0.142857142857143"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou a Faculdade.";"IN";"0.0903155603917301"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou a Faculdade.";"BA";"0.0911161731207289"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou a Faculdade.";"PR";"0"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Não sei.";"IN";"0.218715995647443"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Não sei.";"BA";"0.191343963553531"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Não sei.";"PR";"0.142857142857143"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"NI";"IN";"0.029379760609358"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"NI";"BA";"0.0113895216400911"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"NI";"PR";"0"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Nunca estudou.";"IN";"0.0968443960826986"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Nunca estudou.";"BA";"0.0956719817767654"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Nunca estudou.";"PR";"0"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Não completou a 4.ª série/5.º ano.";"IN";"0.211099020674646"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Não completou a 4.ª série/5.º ano.";"BA";"0.170842824601367"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Não completou a 4.ª série/5.º ano.";"PR";"0.285714285714286"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano.";"IN";"0.14689880304679"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano.";"BA";"0.152619589977221"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano.";"PR";"0.142857142857143"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a 8.ª série/9.º ano, mas não completou o Ensino Médio.";"IN";"0.0772578890097933"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a 8.ª série/9.º ano, mas não completou o Ensino Médio.";"BA";"0.104783599088838"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a 8.ª série/9.º ano, mas não completou o Ensino Médio.";"PR";"0"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou o Ensino Médio, mas não completou a Faculdade.";"IN";"0.0544069640914037"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou o Ensino Médio, mas não completou a Faculdade.";"BA";"0.082004555808656"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou o Ensino Médio, mas não completou a Faculdade.";"PR";"0.142857142857143"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a Faculdade.";"IN";"0.0424374319912949"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a Faculdade.";"BA";"0.0296127562642369"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a Faculdade.";"PR";"0"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Não sei.";"IN";"0.336235038084875"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Não sei.";"BA";"0.341685649202733"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Não sei.";"PR";"0.428571428571429"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"NI";"IN";"0.0348204570184984"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"NI";"BA";"0.0227790432801822"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"NI";"PR";"0"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"Sempre ou quase sempre.";"IN";"0.534276387377584"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"Sempre ou quase sempre.";"BA";"0.546697038724374"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"Sempre ou quase sempre.";"PR";"0.428571428571429"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"De vez em quando.";"IN";"0.343852013057671"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"De vez em quando.";"BA";"0.37129840546697"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"De vez em quando.";"PR";"0.571428571428571"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"Nunca ou quase nunca.";"IN";"0.0805223068552775"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"Nunca ou quase nunca.";"BA";"0.0546697038724374"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"Nunca ou quase nunca.";"PR";"0"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"NI";"IN";"0.0413492927094668"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"NI";"BA";"0.0273348519362187"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"NI";"PR";"0"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"Sim.";"IN";"0.914036996735582"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"Sim.";"BA";"0.93621867881549"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"Sim.";"PR";"1"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"Não.";"IN";"0.0500544069640914"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"Não.";"BA";"0.0296127562642369"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"Não.";"PR";"0"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"NI";"IN";"0.0359085963003264"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"NI";"BA";"0.0341685649202733"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"NI";"PR";"0"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"Sim.";"IN";"0.885745375408052"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"Sim.";"BA";"0.888382687927107"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"Sim.";"PR";"0.857142857142857"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"Não.";"IN";"0.0652883569096844"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"Não.";"BA";"0.0797266514806378"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"Não.";"PR";"0.142857142857143"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"NI";"IN";"0.0489662676822633"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"NI";"BA";"0.0318906605922551"
"28 - Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?";"NI";"PR";"0"
"29 - Seus pais ou responsáveis incentivam você a ler?";"Sim.";"IN";"0.8759521218716"
"29 - Seus pais ou responsáveis incentivam você a ler?";"Sim.";"BA";"0.883826879271071"
"29 - Seus pais ou responsáveis incentivam você a ler?";"Sim.";"PR";"0.857142857142857"
"29 - Seus pais ou responsáveis incentivam você a ler?";"Não.";"IN";"0.0761697497279652"
"29 - Seus pais ou responsáveis incentivam você a ler?";"Não.";"BA";"0.0774487471526196"
"29 - Seus pais ou responsáveis incentivam você a ler?";"Não.";"PR";"0.142857142857143"
"29 - Seus pais ou responsáveis incentivam você a ler?";"NI";"IN";"0.0478781284004353"
"29 - Seus pais ou responsáveis incentivam você a ler?";"NI";"BA";"0.0387243735763098"
"29 - Seus pais ou responsáveis incentivam você a ler?";"NI";"PR";"0"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"Sim.";"IN";"0.889009793253536"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"Sim.";"BA";"0.933940774487471"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"Sim.";"PR";"0.714285714285714"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"Não.";"IN";"0.058759521218716"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"Não.";"BA";"0.0273348519362187"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"Não.";"PR";"0.142857142857143"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"NI";"IN";"0.0522306855277476"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"NI";"BA";"0.0387243735763098"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"NI";"PR";"0.142857142857143"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Menos de 1 hora.";"IN";"0.401523394994559"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Menos de 1 hora.";"BA";"0.321184510250569"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Menos de 1 hora.";"PR";"0.285714285714286"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Entre 1 e 2 horas.";"IN";"0.195865070729053"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Entre 1 e 2 horas.";"BA";"0.220956719817768"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Entre 1 e 2 horas.";"PR";"0.571428571428571"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Mais de 2 horas, até 3 horas.";"IN";"0.0990206746463547"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Mais de 2 horas, até 3 horas.";"BA";"0.14123006833713"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Mais de 2 horas, até 3 horas.";"PR";"0"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Mais de 3 horas.";"IN";"0.120783460282916"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Mais de 3 horas.";"BA";"0.20501138952164"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Mais de 3 horas.";"PR";"0.142857142857143"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Não vejo TV, não navego na internet e não jogo jogos eletrônicos.";"IN";"0.145810663764962"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Não vejo TV, não navego na internet e não jogo jogos eletrônicos.";"BA";"0.0933940774487472"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"Não vejo TV, não navego na internet e não jogo jogos eletrônicos.";"PR";"0"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"NI";"IN";"0.0369967355821545"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"NI";"BA";"0.0182232346241458"
"43 - Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?";"NI";"PR";"0"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Menos de 1 hora.";"IN";"0.386289445048966"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Menos de 1 hora.";"BA";"0.375854214123007"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Menos de 1 hora.";"PR";"0.285714285714286"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Entre 1 e 2 horas.";"IN";"0.214363438520131"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Entre 1 e 2 horas.";"BA";"0.24373576309795"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Entre 1 e 2 horas.";"PR";"0.142857142857143"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Mais de 2 horas, até 3 horas.";"IN";"0.0750816104461371"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Mais de 2 horas, até 3 horas.";"BA";"0.082004555808656"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Mais de 2 horas, até 3 horas.";"PR";"0"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Mais de 3 horas.";"IN";"0.073993471164309"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Mais de 3 horas.";"BA";"0.082004555808656"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Mais de 3 horas.";"PR";"0.285714285714286"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Não faço trabalhos domésticos.";"IN";"0.205658324265506"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Não faço trabalhos domésticos.";"BA";"0.186788154897494"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"Não faço trabalhos domésticos.";"PR";"0.285714285714286"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"NI";"IN";"0.044613710554951"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"NI";"BA";"0.0296127562642369"
"44 - Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?";"NI";"PR";"0"
"45 - Atualmente você trabalha fora de casa (recebendo ou não um salário)?";"Sim.";"IN";"0.162132752992383"
"45 - Atualmente você trabalha fora de casa (recebendo ou não um salário)?";"Sim.";"BA";"0.134396355353075"
"45 - Atualmente você trabalha fora de casa (recebendo ou não um salário)?";"Sim.";"PR";"0.428571428571429"
"45 - Atualmente você trabalha fora de casa (recebendo ou não um salário)?";"Não.";"IN";"0.752992383025027"
"45 - Atualmente você trabalha fora de casa (recebendo ou não um salário)?";"Não.";"BA";"0.815489749430524"
"45 - Atualmente você trabalha fora de casa (recebendo ou não um salário)?";"Não.";"PR";"0.571428571428571"
"45 - Atualmente você trabalha fora de casa (recebendo ou não um salário)?";"NI";"IN";"0.0848748639825898"
"45 - Atualmente você trabalha fora de casa (recebendo ou não um salário)?";"NI";"BA";"0.0501138952164009"
"45 - Atualmente você trabalha fora de casa (recebendo ou não um salário)?";"NI";"PR";"0"
"48 - Você já foi reprovado?";"Não.";"IN";"0.563656147986942"
"48 - Você já foi reprovado?";"Não.";"BA";"0.621867881548975"
"48 - Você já foi reprovado?";"Não.";"PR";"0.857142857142857"
"48 - Você já foi reprovado?";"Sim, uma vez.";"IN";"0.302502720348205"
"48 - Você já foi reprovado?";"Sim, uma vez.";"BA";"0.26879271070615"
"48 - Você já foi reprovado?";"Sim, uma vez.";"PR";"0.142857142857143"
"48 - Você já foi reprovado?";"Sim, duas vezes ou mais.";"IN";"0.0979325353645267"
"48 - Você já foi reprovado?";"Sim, duas vezes ou mais.";"BA";"0.0774487471526196"
"48 - Você já foi reprovado?";"Sim, duas vezes ou mais.";"PR";"0"
"48 - Você já foi reprovado?";"NI";"IN";"0.0359085963003264"
"48 - Você já foi reprovado?";"NI";"BA";"0.0318906605922551"
"48 - Você já foi reprovado?";"NI";"PR";"0"
"53 - Você gosta de estudar Matemática?";"Sim.";"IN";"0.618063112078346"
"53 - Você gosta de estudar Matemática?";"Sim.";"BA";"0.703872437357631"
"53 - Você gosta de estudar Matemática?";"Sim.";"PR";"0.714285714285714"
"53 - Você gosta de estudar Matemática?";"Não.";"IN";"0.318824809575626"
"53 - Você gosta de estudar Matemática?";"Não.";"BA";"0.248291571753986"
"53 - Você gosta de estudar Matemática?";"Não.";"PR";"0.285714285714286"
"53 - Você gosta de estudar Matemática?";"NI";"IN";"0.0631120783460283"
"53 - Você gosta de estudar Matemática?";"NI";"BA";"0.0478359908883827"
"53 - Você gosta de estudar Matemática?";"NI";"PR";"0"
"54 - Você faz o dever de casa de Matemática?";"Sempre ou quase sempre.";"IN";"0.544069640914037"
"54 - Você faz o dever de casa de Matemática?";"Sempre ou quase sempre.";"BA";"0.599088838268793"
"54 - Você faz o dever de casa de Matemática?";"Sempre ou quase sempre.";"PR";"0.714285714285714"
"54 - Você faz o dever de casa de Matemática?";"De vez em quando.";"IN";"0.366702937976061"
"54 - Você faz o dever de casa de Matemática?";"De vez em quando.";"BA";"0.341685649202733"
"54 - Você faz o dever de casa de Matemática?";"De vez em quando.";"PR";"0.285714285714286"
"54 - Você faz o dever de casa de Matemática?";"Nunca ou quase nunca.";"IN";"0.0359085963003264"
"54 - Você faz o dever de casa de Matemática?";"Nunca ou quase nunca.";"BA";"0.0296127562642369"
"54 - Você faz o dever de casa de Matemática?";"Nunca ou quase nunca.";"PR";"0"
"54 - Você faz o dever de casa de Matemática?";"O(A) professor(a) não passa dever de casa.";"IN";"0.014145810663765"
