Nome_Granderegiao,UF,Nome_UF,Mesorregiao_Geografica,Nome_Mesorregiao,Microrregiao_Geografica,Nome_Microrregiao,Municipio,Cod_Municipio_Completo,Nome_Municipio
Norte,12,Acre,1,Vale do Juruá,1,Cruzeiro do Sul,203,1200203,Cruzeiro do Sul
Norte,12,Acre,1,Vale do Juruá,1,Cruzeiro do Sul,336,1200336,Mâncio Lima
Norte,12,Acre,1,Vale do Juruá,1,Cruzeiro do Sul,351,1200351,Marechal Thaumaturgo
Norte,12,Acre,1,Vale do Juruá,1,Cruzeiro do Sul,393,1200393,Porto Walter
Norte,12,Acre,1,Vale do Juruá,1,Cruzeiro do Sul,427,1200427,Rodrigues Alves
Norte,12,Acre,1,Vale do Juruá,2,Tarauacá,302,1200302,Feijó
Norte,12,Acre,1,Vale do Juruá,2,Tarauacá,328,1200328,Jordão
Norte,12,Acre,1,Vale do Juruá,2,Tarauacá,609,1200609,Tarauacá
Norte,12,Acre,2,Vale do Acre,3,Sena Madureira,344,1200344,Manoel Urbano
Norte,12,Acre,2,Vale do Acre,3,Sena Madureira,435,1200435,Santa Rosa do Purus
Norte,12,Acre,2,Vale do Acre,3,Sena Madureira,500,1200500,Sena Madureira
Norte,12,Acre,2,Vale do Acre,4,Rio Branco,13,1200013,Acrelândia
Norte,12,Acre,2,Vale do Acre,4,Rio Branco,138,1200138,Bujari
Norte,12,Acre,2,Vale do Acre,4,Rio Branco,179,1200179,Capixaba
Norte,12,Acre,2,Vale do Acre,4,Rio Branco,385,1200385,Plácido de Castro
Norte,12,Acre,2,Vale do Acre,4,Rio Branco,401,1200401,Rio Branco
Norte,12,Acre,2,Vale do Acre,4,Rio Branco,450,1200450,Senador Guiomard
Norte,12,Acre,2,Vale do Acre,4,Rio Branco,807,1200807,Porto Acre
Norte,12,Acre,2,Vale do Acre,5,Brasiléia,54,1200054,Assis Brasil
Norte,12,Acre,2,Vale do Acre,5,Brasiléia,104,1200104,Brasiléia
Norte,12,Acre,2,Vale do Acre,5,Brasiléia,252,1200252,Epitaciolândia
Norte,12,Acre,2,Vale do Acre,5,Brasiléia,708,1200708,Xapuri
Nordeste,29,Bahia,1,Extremo Oeste Baiano,1,Barreiras,2500,2902500,Baianópolis
Nordeste,29,Bahia,1,Extremo Oeste Baiano,1,Barreiras,3201,2903201,Barreiras
Nordeste,29,Bahia,1,Extremo Oeste Baiano,1,Barreiras,7400,2907400,Catolândia
Nordeste,29,Bahia,1,Extremo Oeste Baiano,1,Barreiras,11105,2911105,Formosa do Rio Preto
Nordeste,29,Bahia,1,Extremo Oeste Baiano,1,Barreiras,19553,2919553,Luís Eduardo Magalhães
Nordeste,29,Bahia,1,Extremo Oeste Baiano,1,Barreiras,26202,2926202,Riachão das Neves
Nordeste,29,Bahia,1,Extremo Oeste Baiano,1,Barreiras,28901,2928901,São Desidério
Nordeste,29,Bahia,1,Extremo Oeste Baiano,2,Cotegipe,1403,2901403,Angical
Nordeste,29,Bahia,1,Extremo Oeste Baiano,2,Cotegipe,4407,2904407,Brejolândia
Nordeste,29,Bahia,1,Extremo Oeste Baiano,2,Cotegipe,9406,2909406,Cotegipe
Nordeste,29,Bahia,1,Extremo Oeste Baiano,2,Cotegipe,9703,2909703,Cristópolis
Nordeste,29,Bahia,1,Extremo Oeste Baiano,2,Cotegipe,20452,2920452,Mansidão
Nordeste,29,Bahia,1,Extremo Oeste Baiano,2,Cotegipe,28406,2928406,Santa Rita de Cássia
Nordeste,29,Bahia,1,Extremo Oeste Baiano,2,Cotegipe,30907,2930907,Tabocas do Brejo Velho
Nordeste,29,Bahia,1,Extremo Oeste Baiano,2,Cotegipe,33455,2933455,Wanderley
Nordeste,29,Bahia,1,Extremo Oeste Baiano,3,Santa Maria da Vitória,6105,2906105,Canápolis
Nordeste,29,Bahia,1,Extremo Oeste Baiano,3,Santa Maria da Vitória,8101,2908101,Cocos
Nordeste,29,Bahia,1,Extremo Oeste Baiano,3,Santa Maria da Vitória,9109,2909109,Coribe
Nordeste,29,Bahia,1,Extremo Oeste Baiano,3,Santa Maria da Vitória,9307,2909307,Correntina
Nordeste,29,Bahia,1,Extremo Oeste Baiano,3,Santa Maria da Vitória,17359,2917359,Jaborandi
Nordeste,29,Bahia,1,Extremo Oeste Baiano,3,Santa Maria da Vitória,28109,2928109,Santa Maria da Vitória
Nordeste,29,Bahia,1,Extremo Oeste Baiano,3,Santa Maria da Vitória,28208,2928208,Santana
Nordeste,29,Bahia,1,Extremo Oeste Baiano,3,Santa Maria da Vitória,29057,2929057,São Félix do Coribe
Nordeste,29,Bahia,1,Extremo Oeste Baiano,3,Santa Maria da Vitória,30303,2930303,Serra Dourada
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,4,Juazeiro,5909,2905909,Campo Alegre de Lourdes
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,4,Juazeiro,7202,2907202,Casa Nova
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,4,Juazeiro,9901,2909901,Cura�á
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,4,Juazeiro,18407,2918407,Juazeiro
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,4,Juazeiro,24405,2924405,Pilão Arcado
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,4,Juazeiro,26004,2926004,Remanso
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,4,Juazeiro,30204,2930204,Sento Sé
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,4,Juazeiro,30774,2930774,Sobradinho
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,5,Paulo Afonso,207,2900207,Abaré
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,5,Paulo Afonso,7707,2907707,Chorrochó
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,5,Paulo Afonso,11402,2911402,Glória
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,5,Paulo Afonso,19900,2919900,Macururé
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,5,Paulo Afonso,24009,2924009,Paulo Afonso
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,5,Paulo Afonso,27101,2927101,Rodelas
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,6,Barra,2708,2902708,Barra
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,6,Barra,4753,2904753,Buritirama
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,6,Barra,13200,2913200,Ibotirama
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,6,Barra,15353,2915353,Itaguaçu da Bahia
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,6,Barra,21609,2921609,Morpará
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,6,Barra,22250,2922250,Muquém de São Francisco
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,6,Barra,33604,2933604,Xique-Xique
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,7,Bom Jesus da Lapa,3904,2903904,Bom Jesus da Lapa
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,7,Bom Jesus da Lapa,7103,2907103,Carinhanha
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,7,Bom Jesus da Lapa,10776,2910776,Feira da Mata
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,7,Bom Jesus da Lapa,23704,2923704,Paratinga
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,7,Bom Jesus da Lapa,30154,2930154,Serra do Ramalho
Nordeste,29,Bahia,2,Vale São-Franciscano da Bahia,7,Bom Jesus da Lapa,30758,2930758,Sítio do Mato
Nordeste,29,Bahia,3,Centro Norte Baiano,8,Senhor do Bonfim,1353,2901353,Andorinha
Nordeste,29,Bahia,3,Centro Norte Baiano,8,Senhor do Bonfim,1809,2901809,Antônio Gonçalves
Nordeste,29,Bahia,3,Centro Norte Baiano,8,Senhor do Bonfim,6006,2906006,Campo Formoso
Nordeste,29,Bahia,3,Centro Norte Baiano,8,Senhor do Bonfim,10859,2910859,Filadélfia
Nordeste,29,Bahia,3,Centro Norte Baiano,8,Senhor do Bonfim,17003,2917003,Itiúba
Nordeste,29,Bahia,3,Centro Norte Baiano,8,Senhor do Bonfim,17706,2917706,Jaguarari
Nordeste,29,Bahia,3,Centro Norte Baiano,8,Senhor do Bonfim,24603,2924603,Pindobaçu
Nordeste,29,Bahia,3,Centro Norte Baiano,8,Senhor do Bonfim,30105,2930105,Senhor do Bonfim
Nordeste,29,Bahia,3,Centro Norte Baiano,8,Senhor do Bonfim,32457,2932457,Umburanas
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,1155,2901155,América Dourada
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,3003,2903003,Barra do Mendes
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,3235,2903235,Barro Alto
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,5305,2905305,Cafarnaum
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,6204,2906204,Canarana
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,7608,2907608,Central
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,11303,2911303,Gentio do Ouro
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,12400,2912400,Ibipeba
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,13101,2913101,Ibititá
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,14406,2914406,Iraquara
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,14604,2914604,Irecê
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,18357,2918357,João Dourado
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,18506,2918506,Jussara
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,19157,2919157,Lapão
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,22052,2922052,Mulungu do Morro
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,25600,2925600,Presidente Dutra
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,29255,2929255,São Gabriel
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,30808,2930808,Souto Soares
Nordeste,29,Bahia,3,Centro Norte Baiano,9,Irecê,32408,2932408,Uibaí
