"ID_UF_alunos";"ID_MUNICIPIO_alunos";"ID_ALUNO_alunos";"PROFICIENCIA_MT_SAEB_alunos";"TX_RESP_Q013_alunos";"TX_RESP_Q015_alunos";"TX_RESP_Q019_alunos";"TX_RESP_Q023_alunos";"TX_RESP_Q026_alunos";"TX_RESP_Q027_alunos";"TX_RESP_Q028_alunos";"TX_RESP_Q029_alunos";"TX_RESP_Q030_alunos";"TX_RESP_Q043_alunos";"TX_RESP_Q044_alunos";"TX_RESP_Q045_alunos";"TX_RESP_Q048_alunos";"TX_RESP_Q053_alunos";"TX_RESP_Q054_alunos";"TX_RESP_Q055_alunos";"TX_RESP_Q057_alunos";"nivel_proficiencia";"ind_aprendizado_adequado"
31;3136900;18551284;355.354172;"C";"D";"B";"D";"A";"A";"A";"B";"A";"D";"A";"B";"A";"A";"C";"A";"C";"Avancado";"Sim"
31;3136900;18551285;373.72408;"A";"E";"B";"A";"B";"A";"A";"A";"A";"D";"A";"A";"B";"A";"B";"A";"C";"Avancado";"Sim"
31;3136900;18551286;289.225332;"A";"E";"D";"D";"B";"A";"A";"A";"A";"A";"D";"B";"A";"B";"Nao Informado";"A";"A";"Basico";"Nao"
31;3136900;18551287;310.968621;"B";"D";"D";"D";"A";"A";"A";"B";"A";"D";"A";"A";"B";"A";"B";"A";"C";"Proficiente";"Sim"
31;3136900;18551288;323.747899;"C";"D";"C";"C";"B";"A";"A";"A";"A";"C";"B";"B";"A";"A";"A";"A";"A";"Proficiente";"Sim"
31;3136900;18551289;378.608454;"B";"C";"C";"C";"A";"A";"A";"B";"A";"D";"E";"B";"A";"A";"A";"A";"A";"Avancado";"Sim"
31;3136900;18551290;415.983207;"B";"E";"D";"E";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"C";"Avancado";"Sim"
31;3136900;18551291;303.142913;"B";"D";"B";"D";"B";"A";"A";"A";"A";"D";"A";"B";"A";"B";"B";"A";"D";"Proficiente";"Sim"
31;3136900;18551292;349.23413;"C";"C";"B";"G";"C";"A";"A";"B";"A";"C";"B";"B";"B";"A";"A";"A";"C";"Proficiente";"Sim"
31;3136900;18551293;271.833987;"B";"C";"E";"C";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"B";"A";"C";"Basico";"Nao"
31;3136900;18551294;366.464561;"C";"D";"C";"E";"C";"A";"A";"A";"A";"D";"B";"B";"A";"A";"A";"A";"C";"Avancado";"Sim"
31;3136900;18551295;415.812121;"A";"C";"C";"G";"B";"A";"A";"A";"A";"A";"E";"B";"A";"A";"A";"A";"A";"Avancado";"Sim"
31;3136900;18551296;307.473059;"A";"D";"B";"B";"B";"A";"A";"A";"A";"B";"C";"A";"A";"B";"A";"A";"C";"Proficiente";"Sim"
31;3136900;18551297;340.293369;"A";"E";"B";"B";"B";"A";"B";"B";"A";"B";"A";"B";"B";"B";"B";"A";"C";"Proficiente";"Sim"
31;3136900;18551298;351.183375;"B";"D";"F";"C";"A";"A";"A";"A";"A";"B";"A";"B";"A";"B";"B";"A";"A";"Avancado";"Sim"
31;3136900;18551299;223.140814;"A";"C";"B";"G";"B";"A";"A";"A";"A";"D";"B";"B";"A";"A";"B";"A";"D";"Insuficiente";"Nao"
31;3136900;18551300;277.752593;"A";"D";"B";"B";"A";"A";"A";"A";"A";"A";"A";"B";"A";"B";"B";"A";"C";"Basico";"Nao"
31;3136900;18551301;334.073895;"D";"E";"G";"G";"A";"A";"A";"A";"A";"Nao Informado";"A";"A";"A";"A";"B";"B";"C";"Proficiente";"Sim"
