"ID_UF_alunos";"ID_MUNICIPIO_alunos";"ID_ALUNO_alunos";"PROFICIENCIA_MT_SAEB_alunos";"TX_RESP_Q013_alunos";"TX_RESP_Q015_alunos";"TX_RESP_Q019_alunos";"TX_RESP_Q023_alunos";"TX_RESP_Q026_alunos";"TX_RESP_Q027_alunos";"TX_RESP_Q028_alunos";"TX_RESP_Q029_alunos";"TX_RESP_Q030_alunos";"TX_RESP_Q043_alunos";"TX_RESP_Q044_alunos";"TX_RESP_Q045_alunos";"TX_RESP_Q048_alunos";"TX_RESP_Q053_alunos";"TX_RESP_Q054_alunos";"TX_RESP_Q055_alunos";"TX_RESP_Q057_alunos";"nivel_proficiencia";"ind_aprendizado_adequado"
15;1506583;16722632;214.462972;"A";"C";"C";"D";"B";"A";"A";"A";"A";"A";"B";"B";"B";"A";"B";"A";"D";"IN";NA
15;1506583;16722633;242.072999;"A";"D";"G";"E";"A";"A";"A";"A";"A";"B";"B";"A";"C";"A";"A";"A";"A";"BA";NA
15;1506583;16722634;193.929192;"C";"E";"F";"D";"B";"A";"A";"A";"A";"D";"B";"B";"A";"A";"A";"A";"A";"IN";NA
15;1506583;16722635;184.446109;"C";"D";"F";"B";"B";"B";"A";"B";"A";"A";"B";"B";"C";"A";"NI";"B";"D";"IN";NA
15;1506583;16722637;214.854553;"B";"C";"E";"G";"B";"A";"A";"A";"A";"D";"B";"B";"B";"A";"B";"A";"D";"IN";NA
15;1506583;16722638;190.958403;"B";"B";"C";"C";"B";"A";"A";"A";"A";"C";"A";"A";"B";"A";"A";"A";"C";"IN";NA
15;1506583;16722639;189.454732;"B";"B";"E";"E";"A";"A";"A";"A";"A";"A";"B";"NI";"A";"B";"A";"B";"A";"IN";NA
15;1506583;16722640;245.999547;"B";"E";"A";"NI";"NI";"NI";"NI";"NI";"NI";"NI";"NI";"NI";"NI";"NI";"NI";"NI";"NI";"BA";NA
15;1506583;16722642;185.621189;"A";"C";"B";"B";"A";"A";"A";"B";"B";"E";"A";"B";"C";"B";"B";"B";"C";"IN";NA
15;1506583;16722643;192.419373;"A";"A";"D";"C";"B";"A";"A";"A";"A";"C";"B";"A";"B";"B";"B";"A";"A";"IN";NA
15;1506583;16722644;233.107478;"A";"E";"G";"G";"B";"A";"A";"A";"A";"A";"C";"B";"B";"A";"A";"A";"C";"BA";NA
15;1506583;16722645;173.985748;"A";"D";"G";"G";"C";"A";"A";"A";"A";"C";"A";"A";"B";"B";"A";"A";"C";"IN";NA
