Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Acrelândia,Todas,9º ano,Matemática,119,76.47,36.2,62.73,1.07,0,1.08,-7.85
Assis Brasil,Todas,9º ano,Matemática,85,84.70999999999999,21.28,56.64,18.68,3.4,22.08,12.45
Brasiléia,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,13.98,55.47,26.38,4.17,30.55,9.619999999999999
Bujari,Todas,9º ano,Matemática,96,87.5,45.71,49.35,3.56,1.38,4.93,-5.75
Capixaba,Todas,9º ano,Matemática,137,56.2,30.02,65.3,4.68,0,4.69,-1.87
Cruzeiro Do Sul,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,28.46,58.81,11.53,1.2,12.73,5.7
Epitaciolândia,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,23.45,63.85,11.6,1.1,12.7,1.08
Feijó,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,22.77,61.89,12.82,2.52,15.34,5.56
Jordão,Todas,9º ano,Matemática,27,92.59,40,60,0,0,0,-4.19
Mâncio Lima,Todas,9º ano,Matemática,185,77.84,49.21,46.89,3.9,0,3.9,0.96
Manoel Urbano,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Marechal Thaumaturgo,Todas,9º ano,Matemática,111,87.39,34.42,61.23,4.35,0,4.35,3.01
Plácido De Castro,Todas,9º ano,Matemática,121,85.12,26.4,63.25,9.42,0.93,10.35,5.81
Porto Acre,Todas,9º ano,Matemática,42,71.43000000000001,60,36.5,3.5,0,3.5,0.31
Porto Walter,Todas,9º ano,Matemática,122,78.69,41.79,54.12,4.09,0,4.09,3.4
Rio Branco,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,31.18,58.45,9.529999999999999,0.84,10.37,0.65
Rodrigues Alves,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,64.5,34.47,1.03,0,1.03,-1.87
Santa Rosa Do Purus,Todas,9º ano,Matemática,48,93.75,48.75,51.25,0,0,0,-6.04
Sena Madureira,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,41.99,52.22,5.79,0,5.79,-1.68
Senador Guiomard,Todas,9º ano,Matemática,269,75.09,20.33,63.85,13.95,1.87,15.82,6.8
Tarauacá,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,27.16,62.29,10.26,0.29,10.55,2.5
Xapuri,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
