Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Água Branca,Todas,9º ano,Matemática,155,83.87,48.6,48.61,2.79,0,2.79,1.38
Anadia,Todas,9º ano,Matemática,255,65.48999999999999,52.71,42.89,4.4,0,4.4,2.2
Arapiraca,Todas,9º ano,Matemática,1591,78.5,31.43,56.68,10.96,0.93,11.89,6.41
Atalaia,Todas,9º ano,Matemática,245,81.63,63.27,35.27,1.46,0,1.46,0.5
Barra De São Miguel,Todas,9º ano,Matemática,132,75,36.43,53.01,8.35,2.21,10.55,3.22
Batalha,Todas,9º ano,Matemática,276,81.16,43.96,52.45,3.59,0,3.59,-3.19
Belém,Todas,9º ano,Matemática,80,90,56.91,40.38,2.71,0,2.71,1.04
Belo Monte,Todas,9º ano,Matemática,36,91.67,48.48,45.46,6.06,0,6.06,2.78
Boca Da Mata,Todas,9º ano,Matemática,321,68.84999999999999,53.43,43.63,2.94,0,2.94,0.93
Branquinha,Todas,9º ano,Matemática,172,85.47,49.62,47.12,2.61,0.65,3.26,1.04
Cacimbinhas,Todas,9º ano,Matemática,117,76.06999999999999,48.23,48.93,2.84,0,2.84,2.22
Cajueiro,Todas,9º ano,Matemática,323,69.04000000000001,50.47,44.24,4.47,0.82,5.29,2.82
Campestre,Todas,9º ano,Matemática,185,61.08,60.1,37.56,2.34,0,2.34,2.34
Campo Alegre,Todas,9º ano,Matemática,329,87.84,26.49,55.62,13.92,3.97,17.89,14.55
Campo Grande,Todas,9º ano,Matemática,199,66.33,57.12,39.58,3.3,0,3.3,0
Canapi,Todas,9º ano,Matemática,227,79.73999999999999,40.95,50.27,8.779999999999999,0,8.779999999999999,3.81
Capela,Todas,9º ano,Matemática,322,71.73999999999999,52.76,43.18,4.06,0,4.06,2.53
