Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Amapá,Todas,9º ano,Matemática,155,80.65000000000001,62.14,37.86,0,0,0,-0.83
Calçoene,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,58.48,40.33,1.19,0,1.19,-0.63
Cutias,Todas,9º ano,Matemática,57,82.45999999999999,50.95,49.05,0,0,0,0
Ferreira Gomes,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,54.12,45.88,0,0,0,-1.17
Itaubal,Todas,9º ano,Matemática,44,88.64,56.48,40.98,2.54,0,2.55,2.54
Laranjal Do Jari,Todas,9º ano,Matemática,671,78.39,45.69,52.35,1.8,0.16,1.96,0.11
Macapá,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,44.17,52.36,3.29,0.18,3.46,0.49
Mazagão,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,62.74,36.72,0.54,0,0.54,-0.31
Oiapoque,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,44.63,53.26,2.11,0,2.11,1.71
Pedra Branca Do Amapari,Todas,9º ano,Matemática,138,80.43000000000001,57.61,41.54,0.85,0,0.85,0.17
Porto Grande,Todas,9º ano,Matemática,249,80.31999999999999,47.57,51.47,0.96,0,0.96,-1.64
Pracuúba,Todas,9º ano,Matemática,27,92.59,40,60,0,0,0,0
Santana,Todas,9º ano,Matemática,1364,79.62,43.68,51.48,4.76,0.08,4.84,2.16
Serra Do Navio,Todas,9º ano,Matemática,50,90,53.31,44.41,2.28,0,2.28,2.28
Tartarugalzinho,Todas,9º ano,Matemática,145,74.48,45.87,52.11,2.02,0,2.02,-2.42
Vitória Do Jari,Todas,9º ano,Matemática,169,79.88,42.84,54.02,3.14,0,3.14,0.18
