Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Alvarães,Todas,9º ano,Matemática,221,90.05,45.68,51.51,2.3,0.51,2.8,0
Amaturá,Todas,9º ano,Matemática,111,85.59,43.61,48.91,6.58,0.9,7.49,6.98
Anamã,Todas,9º ano,Matemática,116,98.28,44.68,51.77,3.55,0,3.55,-1.34
Anori,Todas,9º ano,Matemática,189,91.53,32.45,59.15,7.75,0.65,8.4,0
Atalaia Do Norte,Todas,9º ano,Matemática,162,67.28,52.75,45.02,2.23,0,2.23,0.57
Autazes,Todas,9º ano,Matemática,367,80.65000000000001,43.23,55.47,1.3,0,1.3,-1.31
Barcelos,Todas,9º ano,Matemática,217,88.02,33.69,55.76,9.06,1.49,10.56,6.37
Barreirinha,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,42.42,50.79,6.13,0.66,6.8,4.97
Benjamin Constant,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,43.02,50.06,6.36,0.5600000000000001,6.92,0.77
Beruri,Todas,9º ano,Matemática,288,85.42,46.52,38.18,11.83,3.47,15.3,-20.39
Boa Vista Do Ramos,Todas,9º ano,Matemática,211,86.73,40.59,55.94,2.46,1.01,3.47,-6.65
Boca Do Acre,Todas,9º ano,Matemática,433,92.61,38.41,48.62,11.28,1.69,12.97,2.15
Borba,Todas,9º ano,Matemática,537,91.43000000000001,46.32,48.89,4.79,0,4.79,0.5
Caapiranga,Todas,9º ano,Matemática,126,96.83,58.21,37.22,4.57,0,4.57,0.57
Canutama,Todas,9º ano,Matemática,160,85,46.35,50.73,2.92,0,2.92,-1.19
Carauari,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,38.64,55.75,4.69,0.92,5.61,-20.67
Careiro,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,33.51,60.42,5.55,0.52,6.07,0.19
Careiro Da Várzea,Todas,9º ano,Matemática,100,90,37.96,57.04,5,0,5,1.89
Coari,Todas,9º ano,Matemática,1199,83.06999999999999,48.11,47.61,4.19,0.09,4.28,0.1
Codajás,Todas,9º ano,Matemática,297,89.90000000000001,39.22,54.1,5.95,0.73,6.68,-1.34
Eirunepé,Todas,9º ano,Matemática,501,89.81999999999999,43.94,44.87,9.369999999999999,1.82,11.19,3.45
Envira,Todas,9º ano,Matemática,235,90.20999999999999,27.42,50.16,19.75,2.67,22.42,-9.94
Fonte Boa,Todas,9º ano,Matemática,405,79.75,57.82,39.61,2.57,0,2.57,0.63
Guajará,Todas,9º ano,Matemática,205,89.27,47.19,47.1,5.71,0,5.71,3.57
Humaitá,Todas,9º ano,Matemática,684,85.81999999999999,33.04,59.42,7.39,0.15,7.54,1.25
Ipixuna,Todas,9º ano,Matemática,204,94.61,57.38,40.52,2.1,0,2.1,-7.14
Iranduba,Todas,9º ano,Matemática,283,84.81,38.41,55.56,5.67,0.36,6.03,1.87
Itacoatiara,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,32.22,57.55,9.26,0.97,10.23,4.58
Itamarati,Todas,9º ano,Matemática,140,76.43000000000001,61.33,37.68,0.99,0,0.99,-7.23
Itapiranga,Todas,9º ano,Matemática,185,87.03,25.17,65.69,8.550000000000001,0.59,9.130000000000001,2.33
Japurá,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,44.71,51.56,3.73,0,3.73,1.35
Juruá,Todas,9º ano,Matemática,69,66.67,40.15,57.94,1.91,0,1.91,-1.68
Jutaí,Todas,9º ano,Matemática,280,87.14,41.88,55.55,2.57,0,2.57,0.79
Lábrea,Todas,9º ano,Matemática,531,87.76000000000001,48.66,48.02,2.89,0.43,3.32,0.12
Manacapuru,Todas,9º ano,Matemática,1238,91.68000000000001,33.67,54.72,10.45,1.16,11.6,3.6
Manaquiri,Todas,9º ano,Matemática,144,82.64,55.92,42.57,1.51,0,1.51,1.51
Manaus,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,31.15,56.2,10.77,1.88,12.65,4.06
Manicoré,Todas,9º ano,Matemática,488,95.48999999999999,33.83,56.47,8.84,0.86,9.710000000000001,0.8100000000000001
Maraã,Todas,9º ano,Matemática,139,86.33,41.38,50.41,7.44,0.77,8.210000000000001,2.67
Maués,Todas,9º ano,Matemática,661,83.81,30.68,54.43,12.35,2.54,14.89,4.37
Nhamundá,Todas,9º ano,Matemática,134,96.27,30.33,58.87,8.56,2.24,10.8,6.39
Nova Olinda Do Norte,Todas,9º ano,Matemática,389,85.86,34.58,60.61,4.81,0,4.81,1.92
Novo Airão,Todas,9º ano,Matemática,207,93.72,32.26,48.78,16.54,2.42,18.95,-3.09
Novo Aripuanã,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,33.62,56.78,9.279999999999999,0.32,9.6,-11.04
Parintins,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,32.17,55.17,10.92,1.74,12.66,5.27
Pauini,Todas,9º ano,Matemática,238,76.89,49.76,45.64,4.6,0,4.59,2.2
Presidente Figueiredo,Todas,9º ano,Matemática,365,80,32.19,59.65,7.23,0.93,8.16,-0.66
Rio Preto Da Eva,Todas,9º ano,Matemática,258,75.19,42.1,53.49,4.41,0,4.41,0.5600000000000001
Santa Isabel Do Rio Negro,Todas,9º ano,Matemática,165,92.12,38.45,57.62,3.93,0,3.93,0.54
Santo Antônio Do Içá,Todas,9º ano,Matemática,369,84.01000000000001,45.34,50.99,3.28,0.39,3.67,-7.23
São Gabriel Da Cachoeira,Todas,9º ano,Matemática,446,93.95,37.32,57.01,4.94,0.73,5.66,-0.9399999999999999
São Paulo De Olivença,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,45.73,45.28,8.539999999999999,0.45,8.99,1.49
São Sebastião Do Uatumã,Todas,9º ano,Matemática,127,87.40000000000001,45.34,52.93,0.73,1,1.73,0.72
Silves,Todas,9º ano,Matemática,115,86.95999999999999,45.8,44.29,9.91,0,9.91,5.71
Tabatinga,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,47.93,46.59,5.19,0.29,5.48,-0.39
Tapauá,Todas,9º ano,Matemática,241,94.19,30.19,54.72,14.25,0.84,15.09,-5.49
Tefé,Todas,9º ano,Matemática,1003,88.43000000000001,31.24,57.71,9.960000000000001,1.09,11.05,1.96
Tonantins,Todas,9º ano,Matemática,164,71.95,59.57,37.11,3.32,0,3.32,0.98
Uarini,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,48.5,47.99,3.51,0,3.51,0.3
Urucará,Todas,9º ano,Matemática,183,96.17,41.69,54.36,3.95,0,3.95,1.66
Urucurituba,Todas,9º ano,Matemática,181,81.77,42.9,49.87,6.59,0.64,7.23,5.89
