Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Abaíra,Todas,9º ano,Matemática,62,88.70999999999999,14.18,64.11,19.75,1.96,21.69,7.03
Abaré,Todas,9º ano,Matemática,139,93.53,37.73,55.31,6.96,0,6.95,3.6
Acajutiba,Todas,9º ano,Matemática,175,78.29000000000001,51.37,46.11,2.52,0,2.52,0.51
Adustina,Todas,9º ano,Matemática,116,84.48,27.34,57.38,13.2,2.08,15.29,1.28
Água Fria,Todas,9º ano,Matemática,109,82.56999999999999,44.57,53.55,1.88,0,1.88,1.57
Aiquara,Todas,9º ano,Matemática,69,66.67,51.77,48.23,0,0,0,0
Alagoinhas,Todas,9º ano,Matemática,1383,84.38,43.84,49.45,6.24,0.47,6.71,2.58
Alcobaça,Todas,9º ano,Matemática,152,82.23999999999999,34.58,58.87,5.89,0.66,6.55,1.65
Almadina,Todas,9º ano,Matemática,56,85.70999999999999,53.57,46.43,0,0,0,0
Amargosa,Todas,9º ano,Matemática,347,90.78,32.89,57.26,9.550000000000001,0.3,9.85,4.42
Amélia Rodrigues,Todas,9º ano,Matemática,235,88.09,25.43,57.44,14.51,2.62,17.12,5.9
América Dourada,Todas,9º ano,Matemática,93,93.55,39.05,51.73,9.220000000000001,0,9.220000000000001,3.79
Anagé,Todas,9º ano,Matemática,164,85.98,43.35,50.54,6.11,0,6.11,4.78
Andaraí,Todas,9º ano,Matemática,186,86.56,36.83,53.52,8.369999999999999,1.28,9.640000000000001,2.9
Andorinha,Todas,9º ano,Matemática,115,80,55.14,43.8,1.06,0,1.06,-2.91
Angical,Todas,9º ano,Matemática,114,86.84,44.58,51.24,4.18,0,4.18,3.46
Anguera,Todas,9º ano,Matemática,92,94.56999999999999,36.59,59.82,3.59,0,3.59,1.19
Antas,Todas,9º ano,Matemática,79,63.29,40.9,48.29,10.81,0,10.81,5.33
Antônio Cardoso,Todas,9º ano,Matemática,104,91.34999999999999,54.93,45.07,0,0,0,-1.42
Antônio Gonçalves,Todas,9º ano,Matemática,109,91.73999999999999,50.33,46.75,2.92,0,2.92,-1.66
Aporá,Todas,9º ano,Matemática,105,84.76000000000001,42.36,55.5,2.14,0,2.14,0.37
Apuarema,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,29.14,62.8,8.06,0,8.06,4.9
