Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Abaiara,Todas,9º ano,Matemática,136,96.31999999999999,41.77,46.66,10.03,1.54,11.58,1.56
Acarape,Todas,9º ano,Matemática,114,90.34999999999999,36.93,54.45,8.619999999999999,0,8.619999999999999,2.6
Acaraú,Todas,9º ano,Matemática,410,92.2,27.25,62.57,9.68,0.5,10.18,-4.88
Acopiara,Todas,9º ano,Matemática,287,98.95,15.22,57.83,21.95,5,26.95,20.35
Aiuaba,Todas,9º ano,Matemática,58,96.55,25.45,52.95,18,3.6,21.59,11.24
Alcântaras,Todas,9º ano,Matemática,115,98.26000000000001,17.76,60.19,20.31,1.74,22.05,12.76
Altaneira,Todas,9º ano,Matemática,101,100,17.97,51.75,29.37,0.91,30.28,16.79
Alto Santo,Todas,9º ano,Matemática,129,96.12,27.42,63.59,8.99,0,8.99,-1.76
Antonina Do Norte,Todas,9º ano,Matemática,128,98.44,26.98,61.2,9.539999999999999,2.28,11.83,-6.06
Apuiarés,Todas,9º ano,Matemática,128,95.31,25.48,53.18,20.53,0.8100000000000001,21.34,18.31
Aracati,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,29.03,58.28,9.699999999999999,2.99,12.69,1.43
Aracoiaba,Todas,9º ano,Matemática,164,99.39,39.19,55.82,4.99,0,4.99,-0.87
Ararendá,Todas,9º ano,Matemática,139,96.40000000000001,30.31,46.18,19.57,3.94,23.51,20.06
Araripe,Todas,9º ano,Matemática,277,97.83,21.12,57.56,17.96,3.36,21.32,6.9
Aratuba,Todas,9º ano,Matemática,83,90.36,23.95,58.45,17.6,0,17.6,8.109999999999999
Arneiroz,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,34.81,52.33,12.86,0,12.86,6.91
Assaré,Todas,9º ano,Matemática,216,100,27.7,55.63,16.26,0.41,16.67,11.8
Aurora,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,23.94,61.29,11.63,3.14,14.77,9.869999999999999
Baixio,Todas,9º ano,Matemática,44,100,38.05,55.33,6.62,0,6.62,-5.57
Banabuiú,Todas,9º ano,Matemática,100,96,17.63,57.4,23.94,1.03,24.97,12.44
Barbalha,Todas,9º ano,Matemática,498,100,18.33,54.73,19,7.94,26.94,15.48
Barreira,Todas,9º ano,Matemática,218,84.86,33.53,50.84,13.36,2.27,15.62,9.220000000000001
Barro,Todas,9º ano,Matemática,116,89.66,30.93,50.85,16.36,1.86,18.22,8.49
Barroquinha,Todas,9º ano,Matemática,306,96.73,37.79,51.9,9.359999999999999,0.95,10.31,-0.49
Baturité,Todas,9º ano,Matemática,240,83.33,28.84,60.25,10.91,0,10.91,6.5
Bela Cruz,Todas,9º ano,Matemática,150,98,25.45,49.86,21.27,3.42,24.69,16.06
Boa Viagem,Todas,9º ano,Matemática,236,94.06999999999999,37.41,51.41,9.94,1.24,11.18,2.56
Brejo Santo,Todas,9º ano,Matemática,344,97.97,16.74,35.15,22.58,25.53,48.11,4.62
Camocim,Todas,9º ano,Matemática,716,97.20999999999999,33.65,51.92,13.01,1.42,14.43,8.67
Campos Sales,Todas,9º ano,Matemática,278,98.2,35.57,55.69,8.01,0.73,8.74,3.89
Canindé,Todas,9º ano,Matemática,439,96.81,25.29,61.61,11.69,1.41,13.1,0.89
Capistrano,Todas,9º ano,Matemática,169,98.81999999999999,46.11,47.29,6.6,0,6.6,4.28
Cariré,Todas,9º ano,Matemática,125,100,9.24,55.81,26.14,8.81,34.95,5.3
Caririaçu,Todas,9º ano,Matemática,291,95.19,28.84,59.45,11.32,0.39,11.71,5.31
Cariús,Todas,9º ano,Matemática,167,98.2,26.63,62.34,7.94,3.09,11.03,3.88
Carnaubal,Todas,9º ano,Matemática,185,95.68000000000001,24.91,46.93,18.01,10.15,28.17,5.16
Cascavel,Todas,9º ano,Matemática,83,100,33.73,53.01,12.05,1.21,13.25,1.24
Catarina,Todas,9º ano,Matemática,160,87.5,47.98,46.38,5.64,0,5.64,-3.56
Caucaia,Todas,9º ano,Matemática,3446,90.34,37.7,53.75,7.87,0.68,8.550000000000001,2.05
Cedro,Todas,9º ano,Matemática,170,98.81999999999999,28.35,55.19,14.62,1.84,16.45,7.3
Chaval,Todas,9º ano,Matemática,159,98.11,35.98,53.85,8.16,2.01,10.17,4.78
Chorozinho,Todas,9º ano,Matemática,131,96.95,16.47,66.20999999999999,15.75,1.57,17.32,7.04
Coreaú,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,21.67,43.04,22.08,13.21,35.3,15.66
Crateús,Todas,9º ano,Matemática,563,96.09,24.91,56.08,16.12,2.89,19.01,8.93
Crato,Todas,9º ano,Matemática,1038,89.5,32.76,56.28,10.25,0.71,10.96,4.02
Croatá,Todas,9º ano,Matemática,302,97.02,34.44,54.58,9.57,1.41,10.98,5.05
Cruz,Todas,9º ano,Matemática,230,97.39,13.29,48.84,30.28,7.59,37.88,13.34
Deputado Irapuan Pinheiro,Todas,9º ano,Matemática,128,96.88,14.55,60.37,22.62,2.46,25.08,8.42
Ererê,Todas,9º ano,Matemática,90,86.67,37.27,55,6.44,1.29,7.73,1.67
Eusébio,Todas,9º ano,Matemática,770,99.87,24.79,56.74,16.92,1.55,18.47,3.34
Farias Brito,Todas,9º ano,Matemática,183,100,33.35,53.06,12.53,1.06,13.59,1.96
Forquilha,Todas,9º ano,Matemática,246,97.56,28.9,49.16,18.25,3.69,21.94,1.79
Fortaleza,Todas,9º ano,Matemática,20435,87.81999999999999,29.05,59,10.52,1.43,11.95,2.23
Fortim,Todas,9º ano,Matemática,101,100,34.64,55.94,7.56,1.86,9.42,-5.28
Frecheirinha,Todas,9º ano,Matemática,127,100,12.07,34.76,41.3,11.87,53.17,36.5
General Sampaio,Todas,9º ano,Matemática,69,92.75,13.72,67.42,17.23,1.63,18.86,11.24
Graça,Todas,9º ano,Matemática,206,97.56999999999999,34.65,52.91,11.45,0.99,12.44,1.45
Granja,Todas,9º ano,Matemática,665,98.5,35.35,42.77,13.3,8.58,21.88,13.67
Granjeiro,Todas,9º ano,Matemática,34,100,44.12,44.12,11.76,0,11.76,-15.27
Groaíras,Todas,9º ano,Matemática,174,97.13,18.79,50.46,25.52,5.23,30.75,4.7
Guaiúba,Todas,9º ano,Matemática,261,93.09999999999999,42.72,53.94,2.95,0.39,3.34,-0.6899999999999999
Guaraciaba Do Norte,Todas,9º ano,Matemática,461,98.7,32.68,55.73,10.49,1.1,11.59,-13.15
Guaramiranga,Todas,9º ano,Matemática,72,97.22,31.23,50.06,15.83,2.88,18.73,7.13
Hidrolândia,Todas,9º ano,Matemática,286,98.59999999999999,35.05,53.17,8.970000000000001,2.81,11.78,2.02
Ibaretama,Todas,9º ano,Matemática,209,92.81999999999999,54.03,43.43,2.54,0,2.54,0.06
Ibiapina,Todas,9º ano,Matemática,197,98.48,33.12,58.68,7.65,0.55,8.199999999999999,2.13
Ibicuitinga,Todas,9º ano,Matemática,108,94.44,26.31,59.05,12.66,1.98,14.66,5.98
Icapuí,Todas,9º ano,Matemática,68,97.06,36.4,55.88,7.72,0,7.72,-2.78
Icó,Todas,9º ano,Matemática,358,91.62,39.18,55.06,5.44,0.32,5.76,2.81
Independência,Todas,9º ano,Matemática,244,97.54000000000001,23.41,50.88,19.45,6.26,25.71,8.52
Ipaporanga,Todas,9º ano,Matemática,107,99.06999999999999,35.95,50.9,12.18,0.97,13.15,-1.25
Ipaumirim,Todas,9º ano,Matemática,113,92.92,37.78,52.76,9.460000000000001,0,9.460000000000001,-0.54
Ipu,Todas,9º ano,Matemática,507,99.01000000000001,49.68,45.53,4.59,0.2,4.79,0.85
Ipueiras,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,28.36,58.7,11.98,0.96,12.94,0.73
Iracema,Todas,9º ano,Matemática,195,92.81999999999999,55.36,40.36,3.75,0.53,4.28,0.07000000000000001
Irauçuba,Todas,9º ano,Matemática,350,98.29000000000001,26.47,54.95,17.13,1.45,18.57,9.470000000000001
Itaiçaba,Todas,9º ano,Matemática,80,100,21.47,53.84,19.81,4.88,24.69,12.71
Itaitinga,Todas,9º ano,Matemática,223,96.86,27.8,59.25,11.58,1.37,12.96,1.94
Itapagé,Todas,9º ano,Matemática,575,97.04000000000001,42.28,47.45,8.789999999999999,1.48,10.27,0.51
Itapipoca,Todas,9º ano,Matemática,1145,95.28,32.85,55.65,10.6,0.9,11.5,5.09
