Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Afonso Cláudio,Todas,9º ano,Matemática,222,87.39,12.7,60.66,23.29,3.35,26.64,3.69
Água Doce Do Norte,Todas,9º ano,Matemática,80,76.25,29.56,55.41,11.67,3.36,15.03,-4.29
Águia Branca,Todas,9º ano,Matemática,76,92.11,23.12,50.92,21.74,4.22,25.96,13.05
Alegre,Todas,9º ano,Matemática,292,85.62,32.15,54.57,11.02,2.26,13.28,0.22
Alfredo Chaves,Todas,9º ano,Matemática,79,93.67,11.99,49.84,25.15,13.02,38.16,8
Alto Rio Novo,Todas,9º ano,Matemática,117,80.34,26.91,59.13,13.96,0,13.97,1.78
Anchieta,Todas,9º ano,Matemática,250,84.40000000000001,14.63,63.18,21.3,0.89,22.19,5.37
Apiacá,Todas,9º ano,Matemática,41,95.12,35.28,57.21,7.51,0,7.51,-38.67
Aracruz,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,16.28,57.88,22,3.84,25.84,3.79
Atilio Vivacqua,Todas,9º ano,Matemática,120,85.83,28.73,64.01000000000001,7.26,0,7.26,4.22
Baixo Guandu,Todas,9º ano,Matemática,321,81.31,40.53,49.33,8.15,1.99,10.14,-2.27
Barra De São Francisco,Todas,9º ano,Matemática,297,78.11,23.75,62.16,12.85,1.24,14.09,1.34
Boa Esperança,Todas,9º ano,Matemática,89,82.02,26.52,57.75,14.36,1.37,15.73,4.66
Bom Jesus Do Norte,Todas,9º ano,Matemática,55,90.91,52,44,4,0,4,-1.25
Brejetuba,Todas,9º ano,Matemática,127,88.19,22.14,62.25,14.7,0.91,15.61,-7.66
Cachoeiro De Itapemirim ,Todas,9º ano,Matemática,1956,80.20999999999999,24.72,57.82,15.41,2.05,17.46,5.55
Cariacica,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,35.1,55.51,8.5,0.89,9.390000000000001,1.96
Castelo,Todas,9º ano,Matemática,274,81.02,12.42,62.6,21.25,3.73,24.98,-0.99
Colatina,Todas,9º ano,Matemática,1073,84.34,18.6,59.48,17.72,4.2,21.92,0.08
Conceição Da Barra,Todas,9º ano,Matemática,237,86.08,30.94,55.86,11.66,1.54,13.21,3.97
Conceição Do Castelo,Todas,9º ano,Matemática,111,92.79000000000001,20.52,54.49,19.89,5.1,25,-1.9
Divino De São Lourenço,Todas,9º ano,Matemática,40,90,30.31,64.04000000000001,2.83,2.82,5.68,0.6
Domingos Martins,Todas,9º ano,Matemática,203,93.09999999999999,9.76,52.04,32.44,5.76,38.2,3.19
Dores Do Rio Preto,Todas,9º ano,Matemática,89,85.39,35.16,54.22,10.62,0,10.62,-1.09
Ecoporanga,Todas,9º ano,Matemática,241,87.55,26.47,61.19,10.98,1.36,12.34,-1.06
Fundão,Todas,9º ano,Matemática,203,83.73999999999999,26.72,63.69,8.9,0.6899999999999999,9.59,-4.53
Governador Lindenberg,Todas,9º ano,Matemática,133,88.72,13,54.1,24.62,8.279999999999999,32.9,13.31
Guaçuí,Todas,9º ano,Matemática,237,82.7,27.87,57.27,12.48,2.38,14.86,5.2
Guarapari,Todas,9º ano,Matemática,1192,81.12,23.26,58.26,16,2.48,18.48,2.14
Ibatiba,Todas,9º ano,Matemática,236,83.90000000000001,15.96,62.33,17.19,4.52,21.71,-1
Ibiraçu,Todas,9º ano,Matemática,123,80.48999999999999,11.93,69.15000000000001,17.94,0.98,18.93,4.18
Ibitirama,Todas,9º ano,Matemática,105,87.62,34.45,54.15,10.3,1.1,11.4,5.39
Iconha,Todas,9º ano,Matemática,106,90.56999999999999,7.29,55.08,31.44,6.19,37.63,10.87
Irupi,Todas,9º ano,Matemática,143,79.72,29,62.38,7.16,1.46,8.619999999999999,-6.71
Itaguaçu,Todas,9º ano,Matemática,110,90.91,21.54,58.75,17.75,1.96,19.72,-8.859999999999999
Itapemirim,Todas,9º ano,Matemática,376,79.26000000000001,27.97,55.62,15.12,1.29,16.41,2.29
Itarana,Todas,9º ano,Matemática,98,86.73,12.65,59.08,22.96,5.31,28.27,6.12
Iúna,Todas,9º ano,Matemática,284,89.79000000000001,20.6,64.66,13.97,0.77,14.74,-14.16
Jaguaré,Todas,9º ano,Matemática,145,88.28,22.67,64.03,11.92,1.38,13.3,-0.71
Jerônimo Monteiro,Todas,9º ano,Matemática,181,82.31999999999999,25.62,54.74,17.12,2.52,19.65,5.84
João Neiva,Todas,9º ano,Matemática,155,82.58,24.47,59.82,14.81,0.9,15.7,1.43
Laranja Da Terra,Todas,9º ano,Matemática,108,97.22,14.3,58.06,25.81,1.83,27.64,7.03
Linhares,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,23.83,58.35,15.71,2.11,17.82,3.53
Mantenópolis,Todas,9º ano,Matemática,211,89.09999999999999,22.61,62.34,14.52,0.53,15.05,-4.38
Marataízes,Todas,9º ano,Matemática,243,74.90000000000001,16.24,66.63,16.68,0.45,17.13,-3.97
Marechal Floriano,Todas,9º ano,Matemática,141,92.91,12.45,58.44,25.1,4.01,29.11,-8.859999999999999
Marilândia,Todas,9º ano,Matemática,93,91.40000000000001,14.2,51.89,24.66,9.25,33.9,-5.04
Mimoso Do Sul,Todas,9º ano,Matemática,133,92.48,17.08,58.6,20.88,3.44,24.32,7.36
Montanha,Todas,9º ano,Matemática,175,80,16.6,62.9,19.97,0.53,20.5,-6.14
Mucurici,Todas,9º ano,Matemática,72,93.06,19.73,62.1,16.82,1.35,18.17,10.93
Muniz Freire,Todas,9º ano,Matemática,158,88.61,16.73,52.77,27.4,3.1,30.49,-10.09
Muqui,Todas,9º ano,Matemática,151,80.13,26.89,62.81,9.609999999999999,0.6899999999999999,10.3,-7.3
Nova Venécia,Todas,9º ano,Matemática,485,88.25,20.86,57.42,18.83,2.89,21.72,1.96
Pancas,Todas,9º ano,Matemática,195,78.97,30.83,53.58,14.33,1.26,15.59,1.7
Pedro Canário,Todas,9º ano,Matemática,299,79.59999999999999,22.42,62.89,12.01,2.68,14.68,5.92
Pinheiros,Todas,9º ano,Matemática,179,88.83,31.12,58.01,9.699999999999999,1.17,10.87,-3.87
Piúma,Todas,9º ano,Matemática,216,92.59,20.14,59.36,20.5,0,20.5,0.61
Ponto Belo,Todas,9º ano,Matemática,76,88.16,36.46,53.08,10.46,0,10.46,0.37
Presidente Kennedy,Todas,9º ano,Matemática,38,84.20999999999999,37.49,56.25,6.26,0,6.26,0.35
Rio Bananal,Todas,9º ano,Matemática,108,84.26000000000001,21.05,57.25,19.56,2.14,21.7,5.6
Rio Novo Do Sul,Todas,9º ano,Matemática,108,72.22,22.07,52.61,19.22,6.1,25.32,-4.72
Santa Leopoldina,Todas,9º ano,Matemática,74,86.48999999999999,18.75,57.51,22.13,1.61,23.73,9.74
Santa Maria De Jetibá,Todas,9º ano,Matemática,173,86.13,13.93,58.85,23.99,3.23,27.23,-2.64
Santa Teresa,Todas,9º ano,Matemática,281,88.97,12.02,56.23,27.82,3.93,31.75,9.08
São Domingos Do Norte,Todas,9º ano,Matemática,63,82.54000000000001,34.84,47.7,15.87,1.59,17.46,-6.37
São Gabriel Da Palha,Todas,9º ano,Matemática,321,83.8,34.28,53.09,9.98,2.65,12.63,-3.05
São José Do Calçado,Todas,9º ano,Matemática,90,87.78,38.67,54.93,3.76,2.64,6.4,-9.109999999999999
São Mateus,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,18.71,61.11,17,3.18,20.18,3.63
São Roque Do Canaã,Todas,9º ano,Matemática,59,88.14,17.59,46.35,34.18,1.88,36.05,8.91
Serra,Todas,9º ano,Matemática,5920,79.04000000000001,34.06,55.69,9.07,1.18,10.25,0.75
Sooretama,Todas,9º ano,Matemática,312,81.09,26.46,62.19,10.64,0.71,11.35,2.68
Vargem Alta,Todas,9º ano,Matemática,188,86.17,10.62,59.4,25.63,4.35,29.98,-13.6
Venda Nova Do Imigrante,Todas,9º ano,Matemática,277,88.45,9.630000000000001,49.15,32.86,8.359999999999999,41.22,1.49
Viana,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,32.09,60.2,6.44,1.27,7.71,1.94
Vila Pavão,Todas,9º ano,Matemática,67,94.03,7.67,66.59,22.34,3.4,25.73,5.93
Vila Valério,Todas,9º ano,Matemática,209,89,14.8,56.7,25.22,3.28,28.5,6.14
Vila Velha,Todas,9º ano,Matemática,3539,77.31,27.76,59.55,10.8,1.89,12.69,1.28
