Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Abadia De Goiás,Todas,9º ano,Matemática,168,90.48,30.46,54.38,13.8,1.36,15.15,8.109999999999999
Abadiânia,Todas,9º ano,Matemática,162,76.54000000000001,18.39,61.81,19.8,0,19.8,7.28
Acreúna,Todas,9º ano,Matemática,260,83.08,24.6,59.56,13.81,2.03,15.85,0.16
Adelândia,Todas,9º ano,Matemática,29,86.20999999999999,45.17,46.86,7.97,0,7.97,-8.699999999999999
Água Fria De Goiás,Todas,9º ano,Matemática,66,95.45,40.29,52,7.71,0,7.71,7.71
Água Limpa,Todas,9º ano,Matemática,24,83.33,52.44,43.06,0,4.5,4.5,-10.32
Águas Lindas De Goiás,Todas,9º ano,Matemática,2596,74.92,42,52.29,5.57,0.14,5.71,0.86
Alexânia,Todas,9º ano,Matemática,332,87.34999999999999,27.36,60.67,10.23,1.74,11.97,0.95
Aloândia,Todas,9º ano,Matemática,28,89.29000000000001,8,28,40,24,64,22.33
Alto Horizonte,Todas,9º ano,Matemática,65,90.77,11.96,65.92,20.43,1.69,22.12,12.73
Alto Paraíso De Goiás,Todas,9º ano,Matemática,58,98.28,17.55,68.34999999999999,14.1,0,14.1,8.56
Alvorada Do Norte,Todas,9º ano,Matemática,132,94.7,26.98,60.05,12.97,0,12.97,5.27
Amaralina,Todas,9º ano,Matemática,50,78,28.24,69.34,2.42,0,2.42,-6.97
Americano Do Brasil,Todas,9º ano,Matemática,79,91.14,11.59,54.48,32.42,1.51,33.92,18.4
Amorinópolis,Todas,9º ano,Matemática,40,75,12.45,60.85,23.3,3.4,26.73,-1.94
Anápolis,Todas,9º ano,Matemática,3432,86.86,20.59,58.44,17.72,3.25,20.97,2.97
Anicuns,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,15.13,52.09,30.85,1.93,32.78,13.29
Aparecida De Goiânia,Todas,9º ano,Matemática,5657,80.43000000000001,34.22,56.14,9.029999999999999,0.61,9.630000000000001,1.07
Aparecida Do Rio Doce,Todas,9º ano,Matemática,35,100,16.92,70.73999999999999,12.34,0,12.34,8.31
Aporé,Todas,9º ano,Matemática,46,93.48,16.57,58.54,24.89,0,24.89,0.2
Araçu,Todas,9º ano,Matemática,46,91.3,24.2,54.52,21.28,0,21.28,12.74
Aragarças,Todas,9º ano,Matemática,219,79.45,27.79,61.26,10.95,0,10.95,-3.69
Aragoiânia,Todas,9º ano,Matemática,143,75.52,44.9,48.37,5.81,0.92,6.74,-9.24
Araguapaz,Todas,9º ano,Matemática,79,84.81,37.37,53.44,9.19,0,9.19,5.1
Arenópolis,Todas,9º ano,Matemática,31,90.31999999999999,32.4,53.63,10.49,3.48,13.97,13.97
Aruanã,Todas,9º ano,Matemática,102,88.23999999999999,24.75,59.75,13.34,2.16,15.5,4.23
