Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Açailândia,Todas,9º ano,Matemática,1546,85.70999999999999,36.79,55.54,7.54,0.13,7.67,2.39
Afonso Cunha,Todas,9º ano,Matemática,128,74.22,64.44,34.75,0.8100000000000001,0,0.8,0.16
Água Doce Do Maranhão,Todas,9º ano,Matemática,55,90.91,49.69,46.67,3.64,0,3.64,0.6
Alcântara,Todas,9º ano,Matemática,81,95.06,53.89,41.07,3.8,1.24,5.04,0.53
Aldeias Altas,Todas,9º ano,Matemática,207,85.51000000000001,54.21,43.07,2.72,0,2.72,-0.89
Altamira Do Maranhão,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,71.04000000000001,28.96,0,0,0,-1.2
Alto Alegre Do Maranhão,Todas,9º ano,Matemática,350,68,64.06999999999999,32.61,3.01,0.31,3.32,2.53
Alto Alegre Do Pindaré,Todas,9º ano,Matemática,224,96.43000000000001,46.41,48.04,3.65,1.9,5.54,1.4
Alto Parnaíba,Todas,9º ano,Matemática,161,88.81999999999999,47.54,47.64,4.82,0,4.82,1.13
Amapá Do Maranhão,Todas,9º ano,Matemática,156,81.41,52.6,46.7,0.7,0,0.7,0.7
Amarante Do Maranhão,Todas,9º ano,Matemática,285,89.12,35.46,58.68,5.44,0.42,5.86,0.71
Anajatuba,Todas,9º ano,Matemática,56,94.64,48.52,47.68,3.8,0,3.8,1.49
Anapurus,Todas,9º ano,Matemática,128,78.91,75.65000000000001,24.35,0,0,0,-0.7
Apicum-Açu,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,56.01,42.32,1.67,0,1.67,0.24
Araguanã,Todas,9º ano,Matemática,142,83.09999999999999,52.92,47.08,0,0,0,-0.74
Araioses,Todas,9º ano,Matemática,224,87.05,54.88,43.13,1.99,0,1.99,0.06
Arame,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,59.06,40.94,0,0,0,-1.87
Arari,Todas,9º ano,Matemática,410,87.06999999999999,43.36,46.81,9.07,0.76,9.83,7.73
Axixá,Todas,9º ano,Matemática,46,93.48,25.57,67.39,7.04,0,7.04,0.78
Bacabal,Todas,9º ano,Matemática,1151,85.40000000000001,46.74,47.77,4.79,0.7,5.49,0.5600000000000001
Bacabeira,Todas,9º ano,Matemática,139,86.33,45.37,47.8,5.97,0.86,6.83,4.76
Bacuri,Todas,9º ano,Matemática,166,86.75,54.33,43.46,2.21,0,2.21,1.05
Bacurituba,Todas,9º ano,Matemática,84,85.70999999999999,45.93,48.49,5.58,0,5.58,3.4
Balsas,Todas,9º ano,Matemática,1249,81.83,43.31,51.03,5.21,0.45,5.66,1.72
Barão De Grajaú,Todas,9º ano,Matemática,154,96.75,33.96,63.48,2.56,0,2.56,-2.42
Barra Do Corda,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,42.08,53.63,4.18,0.11,4.29,0.73
Barreirinhas,Todas,9º ano,Matemática,498,81.12,45.83,49.95,3.77,0.45,4.22,3.18
Bela Vista Do Maranhão,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,46.58,49.32,4.1,0,4.1,0.04
Belágua,Todas,9º ano,Matemática,92,92.39,61.27,35.25,3.48,0,3.48,3.48
Benedito Leite,Todas,9º ano,Matemática,26,80.77,38.08,61.92,0,0,0,-15.41
Bequimão,Todas,9º ano,Matemática,189,74.59999999999999,54.44,44.85,0.71,0,0.71,-2.99
Bernardo Do Mearim,Todas,9º ano,Matemática,43,74.42,56.41,37.5,6.09,0,6.09,2.24
Boa Vista Do Gurupi,Todas,9º ano,Matemática,141,72.34,59.16,37.68,3.16,0,3.16,2.38
Bom Jardim,Todas,9º ano,Matemática,303,78.22,57.22,39.79,2.99,0,2.99,1.36
Bom Jesus Das Selvas,Todas,9º ano,Matemática,374,77.54000000000001,45.79,51.01,2.91,0.29,3.2,1.22
Bom Lugar,Todas,9º ano,Matemática,87,86.20999999999999,38.38,58.86,1.38,1.38,2.76,-0.03
Brejo,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,67.40000000000001,30.48,2.12,0,2.12,1.78
Brejo De Areia,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,50.77,47.56,1.67,0,1.67,0.22
Buriti,Todas,9º ano,Matemática,189,87.83,46.95,50.59,2.46,0,2.47,-0.64
Buriti Bravo,Todas,9º ano,Matemática,259,86.48999999999999,44.93,50.07,5,0,5,0.02
Buriticupu,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,52.49,44.74,2.58,0.19,2.77,0.95
Buritirana,Todas,9º ano,Matemática,78,83.33,64.66,32.42,2.92,0,2.92,2.49
Cachoeira Grande,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,71.98999999999999,28.01,0,0,0,-2.43
Cajapió,Todas,9º ano,Matemática,70,100,63.68,30.48,5.84,0,5.84,5.18
Cajari,Todas,9º ano,Matemática,76,92.11,49.25,41.12,8.32,1.31,9.630000000000001,3.51
Campestre Do Maranhão,Todas,9º ano,Matemática,138,95.65000000000001,41.95,54.43,3.62,0,3.62,0.66
Cândido Mendes,Todas,9º ano,Matemática,79,83.54000000000001,57.72,40.94,1.34,0,1.34,0.02
Cantanhede,Todas,9º ano,Matemática,236,92.37,37.64,57.74,3.74,0.88,4.62,3.15
Capinzal Do Norte,Todas,9º ano,Matemática,91,83.52,45.57,54.43,0,0,0,0
Carolina,Todas,9º ano,Matemática,250,86,47.26,48.57,4.17,0,4.17,2.16
Carutapera,Todas,9º ano,Matemática,323,91.95,40.18,53.65,5.55,0.62,6.17,1.18
Caxias,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,35.59,56.7,7.08,0.63,7.71,4.3
Cedral,Todas,9º ano,Matemática,57,89.47,15.72,78.41,5.87,0,5.88,1.06
Central Do Maranhão,Todas,9º ano,Matemática,108,93.52,58.83,36.19,4.98,0,4.98,4.15
Centro Do Guilherme,Todas,9º ano,Matemática,120,65,40.97,54.68,4.35,0,4.35,3.36
Centro Novo Do Maranhão,Todas,9º ano,Matemática,154,77.92,60.94,38.22,0.84,0,0.84,-0.72
Chapadinha,Todas,9º ano,Matemática,980,86.73,55.74,41.48,2.67,0.11,2.78,0.91
Cidelândia,Todas,9º ano,Matemática,137,91.97,45.15,53.28,1.57,0,1.57,-4.12
Codó,Todas,9º ano,Matemática,1081,82.42,55.29,42.1,2.39,0.22,2.61,0.91
Coelho Neto,Todas,9º ano,Matemática,652,84.05,51.34,46.28,2.38,0,2.38,0.78
Colinas,Todas,9º ano,Matemática,427,78.92,63.78,33.7,2.52,0,2.52,1
Conceição Do Lago-Açu,Todas,9º ano,Matemática,86,82.56,49.38,46.47,4.15,0,4.15,3.17
Coroatá,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,50.65,46.2,3.15,0,3.15,1.45
Cururupu,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,44.03,49.6,5.55,0.82,6.37,3.22
Davinópolis,Todas,9º ano,Matemática,186,87.63,38.51,59.15,2.34,0,2.34,0.41
Dom Pedro,Todas,9º ano,Matemática,283,78.8,36.56,55.34,8.1,0,8.1,1.09
Duque Bacelar,Todas,9º ano,Matemática,209,85.17,67.76000000000001,30.52,1.72,0,1.72,1.72
Esperantinópolis,Todas,9º ano,Matemática,162,86.42,38.67,53.64,7.69,0,7.69,6.34
Estreito,Todas,9º ano,Matemática,416,92.79000000000001,43.63,48.97,7.15,0.25,7.4,3.89
Feira Nova Do Maranhão,Todas,9º ano,Matemática,70,61.43,43.46,51.66,4.88,0,4.89,0.46
Fernando Falcão,Todas,9º ano,Matemática,66,84.84999999999999,48.23,48.22,3.55,0,3.55,3.55
Formosa Da Serra Negra,Todas,9º ano,Matemática,143,89.51000000000001,31.26,57.44,9.83,1.47,11.29,6.36
Fortaleza Dos Nogueiras,Todas,9º ano,Matemática,136,92.65000000000001,22.9,60.75,14.17,2.18,16.35,10.11
Fortuna,Todas,9º ano,Matemática,170,90.59,55.43,38.92,5.65,0,5.65,-2.28
Godofredo Viana,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,24.04,74.45999999999999,1.5,0,1.5,-2.86
Gonçalves Dias,Todas,9º ano,Matemática,147,68.03,50.59,49.41,0,0,0,-2.07
Governador Archer,Todas,9º ano,Matemática,189,84.66,50.98,48.48,0.54,0,0.54,-2.71
Governador Edison Lobão,Todas,9º ano,Matemática,124,84.68000000000001,46.22,52.01,1.77,0,1.77,-2.77
Governador Eugênio Barros ,Todas,9º ano,Matemática,76,90.79000000000001,45.79,51.58,2.63,0,2.63,2.17
Governador Luiz Rocha,Todas,9º ano,Matemática,39,79.48999999999999,55.87,37.67,6.46,0,6.46,-1.68
Governador Newton Bello,Todas,9º ano,Matemática,90,84.44,48.69,49.96,1.35,0,1.36,-0.37
Governador Nunes Freire,Todas,9º ano,Matemática,285,78.25,51.34,44.63,4.03,0,4.03,3.1
Graça Aranha,Todas,9º ano,Matemática,64,89.06,49.05,49.34,1.61,0,1.61,-1.49
Grajaú,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,50.07,46.2,3.73,0,3.73,2.29
Guimarães,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,45.06,50.18,4.76,0,4.76,1.08
Humberto De Campos,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,50.42,47.9,1.68,0,1.68,0.51
Icatu,Todas,9º ano,Matemática,176,89.77,60.66,39.34,0,0,0,-1.3
Igarapé Do Meio,Todas,9º ano,Matemática,149,83.22,49.81,48.69,1.5,0,1.5,0.17
Igarapé Grande,Todas,9º ano,Matemática,104,85.58,54.67,44.27,1.06,0,1.06,-1.84
Imperatriz,Todas,9º ano,Matemática,3135,87.62,35.32,54.24,9.66,0.78,10.45,3.2
Itaipava Do Grajaú,Todas,9º ano,Matemática,105,87.62,48.78,49.18,2.04,0,2.04,1.44
Itapecuru Mirim,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,58.78,38.84,2.24,0.14,2.39,1.15
Itinga Do Maranhão,Todas,9º ano,Matemática,317,82.65000000000001,36.53,56.61,6.86,0,6.86,3.14
Jatobá,Todas,9º ano,Matemática,62,79.03,53.76,40.43,5.81,0,5.81,4.95
Jenipapo Dos Vieiras,Todas,9º ano,Matemática,26,80.77,38.08,57.15,4.77,0,4.77,3.23
João Lisboa,Todas,9º ano,Matemática,252,83.33,37.54,55.78,6.68,0,6.68,4.37
Joselândia,Todas,9º ano,Matemática,84,90.48,48.71,49.92,1.37,0,1.37,1.37
Junco Do Maranhão,Todas,9º ano,Matemática,56,91.06999999999999,41.32,50.32,8.359999999999999,0,8.359999999999999,7.37
Lago Da Pedra,Todas,9º ano,Matemática,525,87.43000000000001,46.89,50.28,2.64,0.19,2.83,1.03
Lago Do Junco,Todas,9º ano,Matemática,116,93.97,42.17,51.47,5.47,0.89,6.36,4.28
Lago Dos Rodrigues,Todas,9º ano,Matemática,95,100,41.12,54.67,4.21,0,4.21,-1.16
Lago Verde,Todas,9º ano,Matemática,109,80.73,59.19,39.63,1.18,0,1.18,1.18
Lagoa Do Mato,Todas,9º ano,Matemática,115,95.65000000000001,36.62,59.67,3.71,0,3.71,-7.56
Lagoa Grande Do Maranhão ,Todas,9º ano,Matemática,104,86.54000000000001,53.11,42.9,3.99,0,3.99,2.06
Lajeado Novo,Todas,9º ano,Matemática,80,92.5,35.06,54.86,8.880000000000001,1.2,10.08,7.87
