Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Água Clara,Todas,9º ano,Matemática,143,84.62,18.33,51.92,25.91,3.84,29.76,13.79
Alcinópolis,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Amambaí,Todas,9º ano,Matemática,311,84.56999999999999,17.67,60.41,19.05,2.87,21.92,-7.3
Anastácio,Todas,9º ano,Matemática,195,76.41,32.95,58.39,8.119999999999999,0.54,8.67,5.76
Anaurilândia,Todas,9º ano,Matemática,108,78.7,32.37,61.77,5.86,0,5.86,2.87
Angélica,Todas,9º ano,Matemática,148,72.97,21.62,63.26,14.38,0.74,15.12,9.25
Antônio João,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Aparecida Do Taboado,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,17.41,57.24,24.43,0.92,25.35,16.01
Aquidauana,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,18.94,63.12,15.76,2.18,17.94,5.6
Aral Moreira,Todas,9º ano,Matemática,119,65.55,15.98,73.02,9.960000000000001,1.04,11,0.07000000000000001
Bandeirantes,Todas,9º ano,Matemática,73,75.34,25.16,54.93,16.52,3.39,19.91,8.619999999999999
Bataguassu,Todas,9º ano,Matemática,246,88.20999999999999,22.91,61.32,13.87,1.9,15.77,4.44
Batayporã,Todas,9º ano,Matemática,169,66.27,31.74,60.96,7.3,0,7.31,-3.16
Bela Vista,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,22.03,63.59,13.73,0.65,14.39,3.73
Bodoquena,Todas,9º ano,Matemática,96,65.63,29.42,53.37,17.21,0,17.21,4.8
Bonito,Todas,9º ano,Matemática,295,71.86,26.81,62.32,10.87,0,10.87,3.21
Brasilândia,Todas,9º ano,Matemática,141,77.3,24.42,66.76000000000001,7.88,0.9399999999999999,8.82,-0.85
Caarapó,Todas,9º ano,Matemática,240,73.33,25.95,58.49,13.57,1.99,15.56,3.02
Camapuã,Todas,9º ano,Matemática,109,80.73,27.85,56.15,16,0,16,11.15
Campo Grande,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,19.67,59.1,18.45,2.78,21.23,4.8
Caracol,Todas,9º ano,Matemática,64,84.38,14.56,70.95,14.49,0,14.48,7.89
Cassilândia,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,12.07,69.39,16.05,2.49,18.55,6.46
Chapadão Do Sul,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,23.49,66.15000000000001,8.09,2.27,10.36,-2.19
Corguinho,Todas,9º ano,Matemática,54,77.78,5.46,81.34999999999999,13.19,0,13.19,1.91
Coronel Sapucaia,Todas,9º ano,Matemática,221,76.02,31.32,57.34,10.88,0.46,11.33,2.48
Corumbá,Todas,9º ano,Matemática,1199,80.40000000000001,28.22,61.05,9.67,1.06,10.73,3.29
Costa Rica,Todas,9º ano,Matemática,282,84.04000000000001,19.47,55.88,22.54,2.11,24.65,4.5
Coxim,Todas,9º ano,Matemática,408,69.61,22.66,59.29,17.32,0.73,18.05,1
Deodápolis,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,10.25,64.61,17.7,7.44,25.13,13.58
Dois Irmãos Do Buriti,Todas,9º ano,Matemática,54,79.63,13.7,69.68000000000001,16.62,0,16.62,11.49
Douradina,Todas,9º ano,Matemática,48,54.17,34.35,48.07,17.58,0,17.59,4.68
Dourados,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,14.81,61.92,20.84,2.43,23.27,8.630000000000001
Eldorado,Todas,9º ano,Matemática,143,76.92,27.15,55.75,15.33,1.77,17.1,-5.75
Fátima Do Sul,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,12.38,67.70999999999999,16.87,3.04,19.91,6.07
Figueirão,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Glória De Dourados,Todas,9º ano,Matemática,114,84.20999999999999,18.57,61.53,15.89,4.01,19.9,8.15
Guia Lopes Da Laguna,Todas,9º ano,Matemática,133,74.44,25.16,60.79,11.39,2.66,14.05,6.03
Iguatemi,Todas,9º ano,Matemática,186,69.34999999999999,22.01,62.6,14.79,0.6,15.39,3.39
Inocência,Todas,9º ano,Matemática,91,75.81999999999999,30.91,58.06,11.03,0,11.03,5.13
Itaporã,Todas,9º ano,Matemática,205,63.41,22.61,59.41,16.91,1.07,17.99,11.67
Itaquiraí,Todas,9º ano,Matemática,155,87.09999999999999,12.23,67.8,18.63,1.34,19.97,6.55
Ivinhema,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,18.98,60.65,18.42,1.95,20.37,12.58
Japorã,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,9.539999999999999,61.89,28.57,0,28.57,19.76
Jaraguari,Todas,9º ano,Matemática,72,76.39,21.7,65.48,12.82,0,12.82,9.460000000000001
Jardim,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,18.6,62.39,13.16,5.85,19.01,9.220000000000001
Jateí,Todas,9º ano,Matemática,21,95.23999999999999,14.99,50,30.02,4.99,35.01,20.09
Juti,Todas,9º ano,Matemática,92,59.78,36.47,56.43,5.37,1.73,7.1,1.11
Ladário,Todas,9º ano,Matemática,305,73.44,40.92,53.13,5.45,0.5,5.95,0.89
Laguna Carapã,Todas,9º ano,Matemática,59,86.44,27.26,52.54,16.05,4.15,20.2,9.890000000000001
Maracaju,Todas,9º ano,Matemática,504,73.20999999999999,17.8,66.81999999999999,13.79,1.59,15.38,4.2
Miranda,Todas,9º ano,Matemática,260,46.54,45.02,54.98,0,0,0,-5.41
Mundo Novo,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,10.68,60.44,26.36,2.52,28.88,17.62
Naviraí,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,17.23,57.85,22.59,2.33,24.93,7.66
Nioaque,Todas,9º ano,Matemática,136,80.15000000000001,26.21,64,9.16,0.63,9.789999999999999,2.07
Nova Alvorada Do Sul,Todas,9º ano,Matemática,176,84.66,21.78,57.2,19.7,1.32,21.02,11.07
Nova Andradina,Todas,9º ano,Matemática,438,86.76000000000001,8.01,55.77,32.38,3.84,36.22,13.09
Novo Horizonte Do Sul,Todas,9º ano,Matemática,37,89.19,32.2,33.44,31.18,3.18,34.35,20.1
Paraíso Das Águas,Todas,9º ano,Matemática,58,82.76000000000001,19.73,67.13,10.8,2.34,13.12,3.49
Paranaíba,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,26.76,57.82,14.16,1.26,15.42,5.43
Paranhos,Todas,9º ano,Matemática,195,74.87,25.12,67.23,7.65,0,7.65,-6.65
Pedro Gomes,Todas,9º ano,Matemática,90,84.44,25.83,54.86,19.31,0,19.31,16.11
Ponta Porã,Todas,9º ano,Matemática,1089,71.53,17.61,62.46,17.93,2,19.93,6.92
Porto Murtinho,Todas,9º ano,Matemática,120,80,32.24,61.28,6.48,0,6.48,0.84
Ribas Do Rio Pardo,Todas,9º ano,Matemática,280,63.57,32.8,56.5,9.08,1.62,10.7,0.91
Rio Brilhante,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,18.21,56.84,21.98,2.97,24.95,9.970000000000001
Rio Negro,Todas,9º ano,Matemática,40,82.5,48.49,51.51,0,0,0,0
Rio Verde De Mato Grosso,Todas,9º ano,Matemática,201,77.61,37.3,53.15,8.02,1.53,9.550000000000001,2.23
Rochedo,Todas,9º ano,Matemática,63,80.95,22.53,59.24,13.16,5.07,18.23,8.99
Santa Rita Do Pardo,Todas,9º ano,Matemática,77,76.62,25.35,66.26000000000001,8.390000000000001,0,8.390000000000001,5.47
São Gabriel Do Oeste,Todas,9º ano,Matemática,295,80.34,10.42,63.34,23.66,2.58,26.25,6.57
Selvíria,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,27.4,54.86,15.33,2.41,17.75,9.93
Sete Quedas,Todas,9º ano,Matemática,118,72.88,15.9,52.12,30.96,1.02,31.98,17.97
Sidrolândia,Todas,9º ano,Matemática,422,78.91,25.3,62.53,11.61,0.5600000000000001,12.17,5.29
Sonora,Todas,9º ano,Matemática,177,84.18000000000001,19.38,69.88,8.65,2.09,10.73,2.92
Tacuru,Todas,9º ano,Matemática,93,82.8,28.8,58.41,11.94,0.85,12.79,5.51
Taquarussu,Todas,9º ano,Matemática,26,73.08,29.29,60.26,5.76,4.69,10.49,1.76
Terenos,Todas,9º ano,Matemática,148,80.41,14.13,65.55,19.67,0.65,20.33,10.73
Três Lagoas,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,22.26,60.38,15.03,2.33,17.36,5.48
Vicentina,Todas,9º ano,Matemática,61,70.48999999999999,6.93,62.56,28.27,2.24,30.51,28.86
