Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Acorizal,Todas,9º ano,Matemática,79,89.87,44.33,50.29,4.06,1.32,5.39,2.57
Água Boa,Todas,9º ano,Matemática,174,84.48,33.64,52.17,12.84,1.35,14.19,3.64
Alta Floresta,Todas,9º ano,Matemática,729,81.34,33.1,54.45,11.24,1.21,12.46,2.68
Alto Araguaia,Todas,9º ano,Matemática,206,80.09999999999999,31.26,57.04,10.73,0.97,11.71,0.78
Alto Boa Vista,Todas,9º ano,Matemática,62,88.70999999999999,13.48,67.83,18.69,0,18.69,8.970000000000001
Alto Garças,Todas,9º ano,Matemática,137,76.64,39.91,52.08,8.01,0,8.01,0.59
Alto Paraguai,Todas,9º ano,Matemática,102,67.65000000000001,68.09999999999999,30.73,0,1.17,1.17,0
Alto Taquari,Todas,9º ano,Matemática,119,76.47,22.63,58.22,18.22,0.93,19.15,9.08
Apiacás,Todas,9º ano,Matemática,116,90.52,33.48,52.36,11.53,2.63,14.17,8.619999999999999
Araguaiana,Todas,9º ano,Matemática,30,73.33,63.64,27.27,9.09,0,9.09,-0.91
Araputanga,Todas,9º ano,Matemática,218,88.53,26.69,61.79,11.52,0,11.52,2.22
Arenápolis,Todas,9º ano,Matemática,139,79.86,34.62,56.7,7.85,0.83,8.67,-1.15
Aripuanã,Todas,9º ano,Matemática,213,79.81,34.96,56.83,8.210000000000001,0,8.210000000000001,1.71
Barão De Melgaço,Todas,9º ano,Matemática,72,88.89,45.81,40.94,10.03,3.22,13.25,6.09
Barra Do Bugres,Todas,9º ano,Matemática,351,81.2,38.32,54.52,6.83,0.33,7.17,3.37
Barra Do Garças,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,34.32,54.57,9.710000000000001,1.4,11.11,4.7
Bom Jesus Do Araguaia,Todas,9º ano,Matemática,91,64.84,46.88,47.84,5.28,0,5.27,3.67
Brasnorte,Todas,9º ano,Matemática,120,62.5,44.53,47.19,8.279999999999999,0,8.279999999999999,3.85
Cáceres,Todas,9º ano,Matemática,1091,78.09,38.41,55.98,5.31,0.3,5.61,0.46
Campinápolis,Todas,9º ano,Matemática,106,62.26,54.23,41.34,0,4.43,4.43,-3.04
