Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Abadia Dos Dourados,Todas,9º ano,Matemática,98,82.65000000000001,17.27,63.76,16.47,2.5,18.96,-17.55
Abaeté,Todas,9º ano,Matemática,254,92.91,10.45,52.46,32.16,4.93,37.1,7.43
Abre Campo,Todas,9º ano,Matemática,153,86.93000000000001,17.7,54.99,23.3,4.01,27.31,0.14
Acaiaca,Todas,9º ano,Matemática,102,87.25,41.47,49.74,8.789999999999999,0,8.789999999999999,-3.15
Açucena,Todas,9º ano,Matemática,102,86.27,29.21,57.14,10.49,3.16,13.65,-5.52
Água Boa,Todas,9º ano,Matemática,264,79.55,24.22,62.4,12.41,0.97,13.38,-13.23
Água Comprida,Todas,9º ano,Matemática,20,80,31.25,62.5,6.25,0,6.25,-13.75
Aguanil,Todas,9º ano,Matemática,45,84.44,8.24,39.54,42.07,10.15,52.23,16.84
Águas Formosas,Todas,9º ano,Matemática,293,87.03,28.94,57.27,13.4,0.39,13.79,2.5
Águas Vermelhas,Todas,9º ano,Matemática,217,84.79000000000001,32,50.94,12.89,4.17,17.07,1.64
Aimorés,Todas,9º ano,Matemática,260,83.08,25.9,55.36,16.48,2.26,18.74,2.33
Aiuruoca,Todas,9º ano,Matemática,64,96.88,4.69,39.48,39.27,16.56,55.83,17.14
Alagoa,Todas,9º ano,Matemática,50,100,5.84,53.08,27.31,13.77,41.07,-18.07
Albertina,Todas,9º ano,Matemática,38,89.47,16.02,55.57,28.41,0,28.41,-25.45
Além Paraíba,Todas,9º ano,Matemática,377,78.51000000000001,30.24,58.11,9.960000000000001,1.69,11.65,-1.71
Alfenas,Todas,9º ano,Matemática,853,86.17,18.18,55.78,22.28,3.76,26.04,3.92
Alfredo Vasconcelos,Todas,9º ano,Matemática,120,90.83,16.59,51.99,27.52,3.9,31.42,-1.01
Almenara,Todas,9º ano,Matemática,450,79.11,32.59,53.96,12.25,1.2,13.44,-1.4
Alpercata,Todas,9º ano,Matemática,146,78.08,30.02,57.59,9.460000000000001,2.93,12.39,-9.42
Alpinópolis,Todas,9º ano,Matemática,254,84.65000000000001,22.78,49.85,23.93,3.44,27.37,-4.89
Alterosa,Todas,9º ano,Matemática,181,86.73999999999999,22.76,45.99,26.39,4.86,31.25,1.5
Alto Caparaó,Todas,9º ano,Matemática,78,79.48999999999999,13.2,57.04,25.11,4.65,29.77,8.529999999999999
Alto Jequitibá,Todas,9º ano,Matemática,98,83.67,29.34,52.2,17.37,1.09,18.46,4.44
Alto Rio Doce,Todas,9º ano,Matemática,203,85.70999999999999,27.4,49.99,18.23,4.38,22.61,-0.44
Alvarenga,Todas,9º ano,Matemática,85,69.41,13.08,59.46,26.13,1.33,27.46,1.61
Alvinópolis,Todas,9º ano,Matemática,205,87.8,28.96,58.61,11.27,1.16,12.43,-9.52
Alvorada De Minas,Todas,9º ano,Matemática,85,89.41,42.37,45.2,11.25,1.18,12.43,5.62
Amparo Do Serra,Todas,9º ano,Matemática,43,83.72,25.31,60.3,11.34,3.05,14.39,-4.78
Andradas,Todas,9º ano,Matemática,442,83.70999999999999,12.25,60.18,23.74,3.83,27.57,-5.03
Andrelândia,Todas,9º ano,Matemática,184,83.7,29,54.14,16.26,0.6,16.86,1.7
Angelândia,Todas,9º ano,Matemática,184,71.73999999999999,25.06,58.56,14.88,1.5,16.39,1.98
Antônio Carlos,Todas,9º ano,Matemática,167,89.22,29.09,49.41,19.47,2.03,21.5,10.86
Antônio Dias,Todas,9º ano,Matemática,142,85.92,30.87,56.16,12.24,0.73,12.98,-1.95
Antônio Prado De Minas,Todas,9º ano,Matemática,26,100,18.53,59.25,14.8,7.42,22.22,-24.65
Araçaí,Todas,9º ano,Matemática,45,91.11,21.97,53.75,21.97,2.31,24.28,2.61
Aracitaba,Todas,9º ano,Matemática,29,82.76000000000001,41.68,58.32,0,0,0,-31.83
Araçuaí,Todas,9º ano,Matemática,457,84.03,32.67,58.2,8.869999999999999,0.26,9.130000000000001,-1.38
Araguari,Todas,9º ano,Matemática,1062,88.04000000000001,20.59,59.55,17.2,2.66,19.86,-1.08
Arantina,Todas,9º ano,Matemática,44,95.45,11.98,68.8,19.22,0,19.22,3.56
Araponga,Todas,9º ano,Matemática,136,67.65000000000001,17.63,57.81,20.94,3.62,24.55,-26.47
Araporã,Todas,9º ano,Matemática,97,97.94,22.31,51.31,24.18,2.2,26.37,-0.25
Arapuá,Todas,9º ano,Matemática,31,90.31999999999999,17.87,49.98,32.15,0,32.15,12.81
Araújos,Todas,9º ano,Matemática,121,90.91,21.04,45.03,28.53,5.4,33.93,0.99
Araxá,Todas,9º ano,Matemática,1202,84.61,12.47,57.44,24.68,5.41,30.09,-6.83
Arceburgo,Todas,9º ano,Matemática,96,79.17,15.28,62.9,19.36,2.46,21.82,-13.59
Arcos,Todas,9º ano,Matemática,466,92.7,19.5,53.41,23.08,4.01,27.1,-2.23
Areado,Todas,9º ano,Matemática,183,97.27,9.390000000000001,49.91,34.67,6.03,40.7,2.51
Argirita,Todas,9º ano,Matemática,46,89.13,14.91,56.78,23.74,4.57,28.32,-3.69
Aricanduva,Todas,9º ano,Matemática,116,88.79000000000001,15.59,57.22,23.32,3.87,27.19,5.33
Arinos,Todas,9º ano,Matemática,210,82.86,37.54,53.12,8.26,1.08,9.34,3.99
Astolfo Dutra,Todas,9º ano,Matemática,119,84.03,18.88,60.53,18.8,1.79,20.59,0
Ataléia,Todas,9º ano,Matemática,192,76.04000000000001,38.54,50.48,10.46,0.52,10.98,0.62
Augusto De Lima,Todas,9º ano,Matemática,87,79.31,39.41,49.15,9.74,1.7,11.44,-2.09
Baependi,Todas,9º ano,Matemática,183,92.34999999999999,24.35,59.2,15.86,0.59,16.45,-1.34
Baldim,Todas,9º ano,Matemática,141,86.52,24.55,49.7,22.34,3.41,25.75,-4.88
Bambuí,Todas,9º ano,Matemática,242,79.75,25.86,51.21,18.9,4.03,22.93,1.25
Bandeira,Todas,9º ano,Matemática,68,92.65000000000001,25.21,49.18,22.43,3.18,25.61,12.21
Bandeira Do Sul,Todas,9º ano,Matemática,87,79.31,16.69,54.57,23.02,5.72,28.75,7.06
Barão De Cocais,Todas,9º ano,Matemática,439,87.23999999999999,13.04,61.36,22.86,2.74,25.6,5.2
Barão De Monte Alto,Todas,9º ano,Matemática,70,85.70999999999999,33.96,48.64,14.24,3.16,17.4,4.97
Barbacena,Todas,9º ano,Matemática,1550,82.06,24.12,53.49,17.95,4.44,22.39,-1.15
Barra Longa,Todas,9º ano,Matemática,76,75,29.3,53.83,13.71,3.16,16.86,4.37
Barroso,Todas,9º ano,Matemática,276,92.75,14.76,56.57,23.46,5.21,28.67,1.56
Bela Vista De Minas,Todas,9º ano,Matemática,151,83.44,25.44,62.04,11.74,0.78,12.52,-12.33
Belmiro Braga,Todas,9º ano,Matemática,42,88.09999999999999,22.04,58.71,16.44,2.81,19.23,1.58
Belo Horizonte,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,25.32,54.76,16.84,3.08,19.92,0.25
Belo Oriente,Todas,9º ano,Matemática,289,81.66,14.68,63.41,19.67,2.24,21.91,-1.34
Belo Vale,Todas,9º ano,Matemática,121,70.25,38.54,50.05,11.41,0,11.41,2.37
Berilo,Todas,9º ano,Matemática,154,93.51000000000001,22.48,61.24,11.54,4.74,16.27,-37.46
Berizal,Todas,9º ano,Matemática,71,78.87,25.76,55.54,14.88,3.82,18.68,2.76
Bertópolis,Todas,9º ano,Matemática,43,83.72,36.11,50.01,13.88,0,13.88,-6.12
Betim,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,23.77,57.75,16.26,2.22,18.48,5.19
Bias Fortes,Todas,9º ano,Matemática,63,76.19,18.71,60.46,18.74,2.09,20.83,16.98
Bicas,Todas,9º ano,Matemática,110,70,17.8,55.39,22.84,3.97,26.82,-6.04
Biquinhas,Todas,9º ano,Matemática,45,86.67,5.15,56.15,36.05,2.65,38.7,2.03
Boa Esperança,Todas,9º ano,Matemática,579,87.05,16.75,60.7,20.35,2.2,22.55,-6.66
Bocaina De Minas,Todas,9º ano,Matemática,48,89.58,13.14,68.23999999999999,18.62,0,18.62,-2.81
Bocaiúva,Todas,9º ano,Matemática,676,80.33,31.11,56.32,11.34,1.23,12.58,-3.89
Bom Despacho,Todas,9º ano,Matemática,659,84.67,20.51,56.23,19.97,3.29,23.26,-0.2
Bom Jardim De Minas,Todas,9º ano,Matemática,111,90.98999999999999,16.57,52.87,27.5,3.06,30.56,-7.21
Bom Jesus Da Penha,Todas,9º ano,Matemática,84,84.52,15.94,58.56,23.92,1.58,25.51,2.27
Bom Jesus Do Amparo,Todas,9º ano,Matemática,86,87.20999999999999,17.11,53.77,27.71,1.41,29.12,14.26
Bom Jesus Do Galho,Todas,9º ano,Matemática,137,76.64,26.86,55.79,14.69,2.66,17.35,-0.89
Bom Repouso,Todas,9º ano,Matemática,147,88.44,22.81,56.13,18.34,2.72,21.07,2.43
Bom Sucesso,Todas,9º ano,Matemática,285,91.23,23.83,50.54,19.75,5.88,25.63,-6.75
Bonfim,Todas,9º ano,Matemática,111,72.97,11.36,65.79000000000001,20.35,2.5,22.85,-23.21
Bonfinópolis De Minas,Todas,9º ano,Matemática,122,92.62,18.47,53.07,27.51,0.95,28.46,2.15
Bonito De Minas,Todas,9º ano,Matemática,114,85.09,37.62,55.53,6.85,0,6.85,-1.61
Borda Da Mata,Todas,9º ano,Matemática,188,94.15000000000001,8.470000000000001,54.07,29.07,8.390000000000001,37.46,0.05
Botelhos,Todas,9º ano,Matemática,234,86.31999999999999,15.57,57.01,24.36,3.06,27.41,2.83
Botumirim,Todas,9º ano,Matemática,125,88,22.91,63.93,12.32,0.84,13.16,-7.51
Brás Pires,Todas,9º ano,Matemática,68,94.12,10.95,56.24,29.68,3.13,32.8,-22.75
Brasilândia De Minas,Todas,9º ano,Matemática,303,82.84,21.34,63.54,14.03,1.09,15.12,-4.89
Brasília De Minas,Todas,9º ano,Matemática,452,85.62,42.63,44.9,8.699999999999999,3.77,12.47,-1.58
Brasópolis,Todas,9º ano,Matemática,121,86.78,16.08,55.1,21.97,6.85,28.83,12.63
Braúnas,Todas,9º ano,Matemática,58,77.59,15.62,68.87,15.51,0,15.51,-1.91
Brumadinho,Todas,9º ano,Matemática,282,79.79000000000001,15.67,49.42,26.86,8.050000000000001,34.9,4.29
Bueno Brandão,Todas,9º ano,Matemática,152,83.55,10.39,48.08,34.87,6.66,41.54,1.67
Buenópolis,Todas,9º ano,Matemática,128,80.47,28.55,52.01,16.55,2.89,19.44,-8.77
Bugre,Todas,9º ano,Matemática,27,74.06999999999999,30,35,25,10,34.99,0
Buritis,Todas,9º ano,Matemática,293,86.69,27.29,60.28,12.07,0.36,12.43,-3.48
Buritizeiro,Todas,9º ano,Matemática,377,71.88,34.24,55.84,9.6,0.32,9.91,-0.87
Cabeceira Grande,Todas,9º ano,Matemática,107,86.92,32.38,55.92,9.57,2.13,11.71,-0.92
Cabo Verde,Todas,9º ano,Matemática,186,95.16,24.58,50.72,20.82,3.88,24.7,5.5
Cachoeira Da Prata,Todas,9º ano,Matemática,61,81.97,16.16,59.52,22.37,1.95,24.3,13.47
Cachoeira De Minas,Todas,9º ano,Matemática,193,94.81999999999999,21.81,53.04,19.61,5.54,25.15,-12.26
Cachoeira De Pajeú,Todas,9º ano,Matemática,115,90.43000000000001,28.52,56.69,13.01,1.78,14.8,-10.97
Cachoeira Dourada,Todas,9º ano,Matemática,27,88.89,4,70.53,25.47,0,25.47,8.06
Caetanópolis,Todas,9º ano,Matemática,118,79.66,20.19,58.11,18.89,2.81,21.71,-6.27
Caeté,Todas,9º ano,Matemática,544,85.66,27.39,51.43,16.45,4.73,21.18,2.71
Caiana,Todas,9º ano,Matemática,77,90.91,28.85,64.40000000000001,6.75,0,6.75,-10.17
Cajuri,Todas,9º ano,Matemática,53,84.91,26.2,61.64,8.109999999999999,4.05,12.17,3.08
