Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Abatiá,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,24.19,63.81,12,0,12,7.31
Adrianópolis,Todas,9º ano,Matemática,72,76.39,57.1,41.26,1.64,0,1.64,-8.640000000000001
Agudos Do Sul,Todas,9º ano,Matemática,92,83.7,39.02,46.94,11.63,2.41,14.04,3.23
Almirante Tamandaré,Todas,9º ano,Matemática,1189,71.06999999999999,34.19,57.71,7.75,0.35,8.09,0.54
Altamira Do Paraná,Todas,9º ano,Matemática,49,83.67,46.75,50.72,2.53,0,2.53,-5.2
Alto Paraíso,Todas,9º ano,Matemática,46,95.65000000000001,27.12,61.81,11.07,0,11.07,6.11
Alto Paraná,Todas,9º ano,Matemática,105,65.70999999999999,14.42,59.36,17.49,8.73,26.22,9.99
Alto Piquiri,Todas,9º ano,Matemática,106,80.19,32.18,54.3,12.38,1.14,13.52,7.85
Altônia,Todas,9º ano,Matemática,206,87.38,31.19,57.44,10.84,0.53,11.36,-3.3
Alvorada Do Sul,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,28.2,64.28,7.52,0,7.52,-2.47
Amaporã,Todas,9º ano,Matemática,86,76.73999999999999,48.01,42.5,9.49,0,9.49,4.76
Ampére,Todas,9º ano,Matemática,249,83.94,17.64,64.54000000000001,17.4,0.42,17.82,-4.23
Anahy,Todas,9º ano,Matemática,44,72.73,25.31,69.61,2.54,2.54,5.08,-0.78
Andirá,Todas,9º ano,Matemática,224,86.16,35.29,56.06,7.58,1.07,8.65,-4.59
Ângulo,Todas,9º ano,Matemática,37,89.19,33.87,57.63,8.5,0,8.5,5.17
Antonina,Todas,9º ano,Matemática,303,80.2,37.68,53.97,8.35,0,8.35,2.85
Antônio Olinto,Todas,9º ano,Matemática,49,85.70999999999999,18.95,56.96,19.24,4.85,24.11,3.02
Apucarana,Todas,9º ano,Matemática,1333,80.8,23.92,62.1,12.52,1.46,13.98,-4.21
Arapongas,Todas,9º ano,Matemática,1224,86.59999999999999,24.5,58.32,15.8,1.38,17.18,3.36
Arapoti,Todas,9º ano,Matemática,339,72.86,28.29,63.17,7.69,0.85,8.529999999999999,0.53
Arapuã,Todas,9º ano,Matemática,27,81.48,49.52,40.94,0,9.539999999999999,9.539999999999999,1.04
Araruna,Todas,9º ano,Matemática,94,89.36,34.59,60.71,4.7,0,4.71,1.47
Araucária,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,18.77,69.13,11.26,0.84,12.1,0.36
Assaí,Todas,9º ano,Matemática,158,84.81,26.65,51.15,19.53,2.67,22.21,5.43
Assis Chateaubriand,Todas,9º ano,Matemática,358,88.27,21.76,62.71,12.04,3.49,15.53,-2.54
Astorga,Todas,9º ano,Matemática,312,87.5,28.7,57.61,12.57,1.12,13.69,-0.22
Atalaia,Todas,9º ano,Matemática,47,74.47,16.68,71.79000000000001,11.53,0,11.54,-10.72
Balsa Nova,Todas,9º ano,Matemática,96,91.67,44.5,52,3.5,0,3.51,-7.84
Bandeirantes,Todas,9º ano,Matemática,340,77.94,26.28,59.54,13.52,0.66,14.19,1.49
Barbosa Ferraz,Todas,9º ano,Matemática,120,84.17,29.72,57.58,12.7,0,12.7,-2.43
Barra Do Jacaré,Todas,9º ano,Matemática,27,85.19,39.13,60.87,0,0,0,-7
Barracão,Todas,9º ano,Matemática,114,82.45999999999999,25.88,58.85,12.05,3.22,15.27,-2.05
Bela Vista Da Caroba,Todas,9º ano,Matemática,43,93.02,28.29,54.66,17.05,0,17.05,6.15
Bela Vista Do Paraíso,Todas,9º ano,Matemática,203,67.98,37.88,54.87,7.25,0,7.25,-1.5
Bituruna,Todas,9º ano,Matemática,264,79.55,23.35,62.65,11.3,2.7,14,-0.37
Boa Esperança,Todas,9º ano,Matemática,50,98,16.79,75.2,6.07,1.94,7.99,-16.53
Boa Esperança Do Iguaçu,Todas,9º ano,Matemática,44,97.73,20.76,65.15000000000001,14.09,0,14.09,0.41
Boa Ventura De São Roque,Todas,9º ano,Matemática,71,88.73,35.73,61.31,1.55,1.41,2.95,-8.460000000000001
Boa Vista Da Aparecida,Todas,9º ano,Matemática,119,73.95,23.52,61.87,13.7,0.91,14.61,6.67
Bocaiúva Do Sul,Todas,9º ano,Matemática,133,70.68000000000001,34.49,57.26,7.15,1.1,8.24,-2.2
