Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Água Branca,Todas,9º ano,Matemática,87,89.66,19.05,60,20.95,0,20.95,14.74
Aguiar,Todas,9º ano,Matemática,69,89.86,43.25,53.25,3.5,0,3.5,2.57
Alagoa Grande,Todas,9º ano,Matemática,225,78.22,42.25,54.27,3.48,0,3.48,-1.55
Alagoa Nova,Todas,9º ano,Matemática,196,81.12,29.9,64.67,5.43,0,5.43,-1.51
Alagoinha,Todas,9º ano,Matemática,182,88.45999999999999,43.64,51.55,4.2,0.61,4.81,0.66
Alcantil,Todas,9º ano,Matemática,25,76,31.58,63.15,5.27,0,5.27,-2.93
Algodão De Jandaíra,Todas,9º ano,Matemática,36,91.67,48.48,45.45,6.07,0,6.07,4.05
Alhandra,Todas,9º ano,Matemática,217,80.65000000000001,49.12,47.53,2.79,0.5600000000000001,3.35,0.95
Amparo,Todas,9º ano,Matemática,37,86.48999999999999,63.98,32.59,3.43,0,3.43,3.43
Aparecida,Todas,9º ano,Matemática,75,88,26.96,66.84999999999999,6.19,0,6.19,-2.05
Araçagi,Todas,9º ano,Matemática,134,72.39,50.46,48.75,0,0.79,0.79,-3.48
Arara,Todas,9º ano,Matemática,147,80.27,39.43,51.67,8.9,0,8.9,5.17
Araruna,Todas,9º ano,Matemática,280,60,40.16,53.03,6.81,0,6.81,0.19
Areia,Todas,9º ano,Matemática,159,74.84,50.13,43.43,6.44,0,6.44,3.59
Areia De Baraúnas,Todas,9º ano,Matemática,39,94.87,54.06,43.23,2.71,0,2.71,-5.99
Areial,Todas,9º ano,Matemática,148,67.56999999999999,23.51,68.13,7.62,0.74,8.359999999999999,1.78
Aroeiras,Todas,9º ano,Matemática,177,84.18000000000001,43.32,52.28,4.4,0,4.4,2.41
Assunção,Todas,9º ano,Matemática,46,82.61,46.54,45.84,7.62,0,7.62,-1.6
Baía Da Traição,Todas,9º ano,Matemática,70,78.56999999999999,56.9,43.1,0,0,0,0
Bananeiras,Todas,9º ano,Matemática,196,76.02,58.07,40.83,1.1,0,1.1,0.02
Baraúna,Todas,9º ano,Matemática,66,84.84999999999999,34.03,58.81,7.16,0,7.15,-4.85
Barra De Santa Rosa,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,37,54.6,8.4,0,8.4,4.06
Barra De Santana,Todas,9º ano,Matemática,88,85.23,33.79,58.18,6.47,1.56,8.029999999999999,7.09
Barra De São Miguel,Todas,9º ano,Matemática,52,84.62,25.06,56.93,13.63,4.38,18.01,7.31
Bayeux,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,52.97,43.84,3.05,0.14,3.19,0.23
Belém,Todas,9º ano,Matemática,242,81.81999999999999,52.1,43.55,3.85,0.5,4.35,4.35
Belém Do Brejo Do Cruz,Todas,9º ano,Matemática,90,93.33,27.62,67.53,4.85,0,4.85,2.19
Bernardino Batista,Todas,9º ano,Matemática,58,63.79,49.24,37.42,13.34,0,13.34,6.91
Boa Ventura,Todas,9º ano,Matemática,26,57.69,40,53.32,6.68,0,6.68,6.68
Boa Vista,Todas,9º ano,Matemática,103,93.2,24.87,51.45,20.59,3.09,23.67,17.13
Bom Jesus,Todas,9º ano,Matemática,47,85.11,43.72,56.28,0,0,0,-5
Bom Sucesso,Todas,9º ano,Matemática,65,89.23,57.06,41.41,1.53,0,1.54,1.53
Bonito De Santa Fé,Todas,9º ano,Matemática,71,81.69,38.82,56.1,3.49,1.59,5.06,0.28
Boqueirão,Todas,9º ano,Matemática,193,75.65000000000001,49.99,46.06,3.95,0,3.95,2.52
Borborema,Todas,9º ano,Matemática,44,75,66.73,33.27,0,0,0,-1.97
Brejo Do Cruz,Todas,9º ano,Matemática,130,86.92,29.79,61.75,8.460000000000001,0,8.460000000000001,4.07
Brejo Dos Santos,Todas,9º ano,Matemática,68,77.94,39.47,54.83,5.7,0,5.7,2.5
Caaporã,Todas,9º ano,Matemática,280,85.36,44.13,53.4,2.47,0,2.47,0.25
Cabaceiras,Todas,9º ano,Matemática,57,96.48999999999999,12.73,72.72,12.73,1.82,14.54,0
Cabedelo,Todas,9º ano,Matemática,451,75.17,41.83,49.86,8.31,0,8.31,3.04
Cachoeira Dos Índios,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,44.81,46.46,8.73,0,8.74,6.84
Cacimba De Areia,Todas,9º ano,Matemática,41,82.93000000000001,30.61,58.31,11.08,0,11.08,11.08
Cacimba De Dentro,Todas,9º ano,Matemática,177,93.22,43.04,53.88,3.08,0,3.08,-0.65
Cacimbas,Todas,9º ano,Matemática,68,83.81999999999999,53.87,46.13,0,0,0,-1.28
Caiçara,Todas,9º ano,Matemática,68,92.65000000000001,42.69,55.53,1.78,0,1.78,1.78
Cajazeiras,Todas,9º ano,Matemática,308,72.08,47.01,49.46,3.53,0,3.53,1.01
Cajazeirinhas,Todas,9º ano,Matemática,40,77.5,22.49,77.51000000000001,0,0,0,0
Caldas Brandão,Todas,9º ano,Matemática,64,84.38,46.76,53.24,0,0,0,-1.7
Camalaú,Todas,9º ano,Matemática,54,96.3,19.08,65.38,13.54,2,15.53,7.36
Campina Grande,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,37.29,53.77,8.15,0.79,8.93,3.35
Capim,Todas,9º ano,Matemática,95,66.31999999999999,54.01,45.99,0,0,0,-4.88
Caraúbas,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Carrapateira,Todas,9º ano,Matemática,44,88.64,20.63,60.38,16.72,2.27,18.99,14.35
Casserengue,Todas,9º ano,Matemática,70,80,32.16,60.41,7.43,0,7.43,4.94
Catingueira,Todas,9º ano,Matemática,62,91.94,41.59,52.37,6.04,0,6.04,1.96
Catolé Do Rocha,Todas,9º ano,Matemática,276,78.98999999999999,33.83,57.55,7.39,1.23,8.619999999999999,3.25
Caturité,Todas,9º ano,Matemática,74,78.38,42.74,49.5,7.76,0,7.76,7.76
Conceição,Todas,9º ano,Matemática,213,82.16,58.5,37.63,3.87,0,3.87,2.08
Condado,Todas,9º ano,Matemática,83,85.54000000000001,30.52,63.33,6.15,0,6.15,1.04
Conde,Todas,9º ano,Matemática,264,69.31999999999999,48.04,48.5,3.46,0,3.46,3.46
Congo,Todas,9º ano,Matemática,98,78.56999999999999,38.83,56.48,4.69,0,4.69,2.06
Coremas,Todas,9º ano,Matemática,141,90.78,39.82,55.22,4.96,0,4.96,1.64
Cruz Do Espírito Santo,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,73.52,20.59,5.89,0,5.89,5.89
Cubati,Todas,9º ano,Matemática,85,85.88,35.45,57.25,7.3,0,7.29,0.92
Cuité,Todas,9º ano,Matemática,207,85.51000000000001,39.16,48.64,9.789999999999999,2.41,12.2,4.91
Cuité De Mamanguape,Todas,9º ano,Matemática,75,66.67,59.01,40.99,0,0,0,-0.89
Cuitegi,Todas,9º ano,Matemática,83,77.11,61.87,36.88,1.25,0,1.25,0
Curral De Cima,Todas,9º ano,Matemática,65,87.69,43.91,56.09,0,0,0,-1.68
Curral Velho,Todas,9º ano,Matemática,20,90,38.89,61.11,0,0,0,-4
Damião,Todas,9º ano,Matemática,71,95.77,53.14,41.06,4.35,1.45,5.79,3.44
Desterro,Todas,9º ano,Matemática,110,86.36,48.19,49.57,2.24,0,2.24,-3.87
Diamante,Todas,9º ano,Matemática,28,89.29000000000001,56,44,0,0,0,-2.61
Dona Inês,Todas,9º ano,Matemática,116,90.52,51.42,37.48,9.26,1.84,11.1,3.11
Duas Estradas,Todas,9º ano,Matemática,55,70.91,56.4,41.15,2.45,0,2.45,0.42
Emas,Todas,9º ano,Matemática,29,75.86,40.91,54.54,0,4.55,4.54,-0.86
Esperança,Todas,9º ano,Matemática,406,81.03,36.89,52.22,9.81,1.08,10.89,5.16
Fagundes,Todas,9º ano,Matemática,146,75.34,42.01,54.83,1.97,1.19,3.16,0.42
Frei Martinho,Todas,9º ano,Matemática,33,87.88,55.17,31.04,13.79,0,13.8,8.17
Gado Bravo,Todas,9º ano,Matemática,119,68.91,61.96,36.48,1.56,0,1.56,-1.41
Guarabira,Todas,9º ano,Matemática,493,64.91,49.9,47.2,2.9,0,2.9,-1.17
