Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Abaetetuba,Todas,9º ano,Matemática,1416,84.95999999999999,52.68,45.24,2.08,0,2.08,-1.01
Abel Figueiredo,Todas,9º ano,Matemática,82,86.59,49.96,44.76,5.28,0,5.28,3.59
Acará,Todas,9º ano,Matemática,267,68.91,41.08,54.65,4.27,0,4.27,2.25
Afuá,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,52.92,45.73,1.35,0,1.35,0.06
Água Azul Do Norte,Todas,9º ano,Matemática,100,89,48.48,47,4.52,0,4.52,4.52
Alenquer,Todas,9º ano,Matemática,589,80.81,45.92,50.71,3.37,0,3.37,0.12
Almeirim,Todas,9º ano,Matemática,271,85.23999999999999,42.62,55.3,2.08,0,2.08,-0.83
Altamira,Todas,9º ano,Matemática,1321,86.53,33.07,58.33,7.96,0.64,8.6,3.5
Anajás,Todas,9º ano,Matemática,160,81.88,45.73,51.99,2.28,0,2.28,0.24
Ananindeua,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,38.5,53.84,7.23,0.43,7.66,1.54
Anapu,Todas,9º ano,Matemática,177,80.23,47.66,46.49,5.85,0,5.85,2.88
Augusto Corrêa,Todas,9º ano,Matemática,250,72,50.38,46.27,3.35,0,3.35,2.7
Aurora Do Pará,Todas,9º ano,Matemática,138,81.88,39.4,52.03,8.57,0,8.57,6.08
Aveiro,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,68.05,29.8,2.15,0,2.15,0.33
Bagre,Todas,9º ano,Matemática,162,92.59,41.36,55.91,2.73,0,2.73,-7.58
Baião,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,41.74,51.48,6.78,0,6.78,4.89
Bannach,Todas,9º ano,Matemática,40,87.5,37.37,59.45,3.18,0,3.18,1.52
Barcarena,Todas,9º ano,Matemática,550,83.09,46.97,49.68,3.35,0,3.35,0.35
Belém,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,41.42,52.69,5.32,0.57,5.88,0.84
Belterra,Todas,9º ano,Matemática,96,84.38,31.73,57,11.27,0,11.27,7.62
Benevides,Todas,9º ano,Matemática,623,75.12,39.84,55.88,4.28,0,4.28,1.77
Bom Jesus Do Tocantins  ,Todas,9º ano,Matemática,84,82.14,41.35,54.58,4.07,0,4.07,-4.24
Bonito,Todas,9º ano,Matemática,134,77.61,55.53,41.61,2.86,0,2.86,2.86
Bragança,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,45.39,50.73,3.78,0.1,3.89,2.06
Brasil Novo,Todas,9º ano,Matemática,148,82.43000000000001,44.82,48.54,6.64,0,6.64,5.42
Brejo Grande Do Araguaia,Todas,9º ano,Matemática,68,79.41,51.59,46.41,2,0,2,0.1
Breu Branco,Todas,9º ano,Matemática,329,80.84999999999999,46.6,51,2.04,0.36,2.39,-1.78
Breves,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,41.46,54.04,4.39,0.11,4.5,-2.42
Bujaru,Todas,9º ano,Matemática,171,71.93000000000001,53.46,45.03,1.51,0,1.51,-2.14
