Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Abreu E Lima,Todas,9º ano,Matemática,1060,84.06,43.79,51.99,4.22,0,4.22,0.17
Afogados Da Ingazeira,Todas,9º ano,Matemática,435,92.64,31.3,50.29,16.02,2.39,18.41,8.869999999999999
Afrânio,Todas,9º ano,Matemática,153,90.84999999999999,45.61,49.91,4.48,0,4.48,1.99
Agrestina,Todas,9º ano,Matemática,169,84.02,40.44,52.16,7.4,0,7.4,1.7
Água Preta,Todas,9º ano,Matemática,359,90.53,45.02,51.99,2.99,0,2.99,1.67
Águas Belas,Todas,9º ano,Matemática,439,83.59999999999999,31.21,61.41,7.15,0.23,7.38,-0.5
Alagoinha,Todas,9º ano,Matemática,39,100,24.23,71.48999999999999,4.28,0,4.28,-1.2
Aliança,Todas,9º ano,Matemática,112,90.18000000000001,41.55,50.52,7.93,0,7.93,7.27
Altinho,Todas,9º ano,Matemática,200,84,26.27,60.04,13.07,0.62,13.7,9.880000000000001
Amaraji,Todas,9º ano,Matemática,233,80.69,43.95,52.11,3.27,0.67,3.94,2.45
Angelim,Todas,9º ano,Matemática,169,90.53,29.73,63.35,6.92,0,6.92,1.5
Araçoiaba,Todas,9º ano,Matemática,216,93.06,53.82,42.79,3.39,0,3.39,2.73
Araripina,Todas,9º ano,Matemática,905,81.98999999999999,30.38,59.73,9.16,0.73,9.890000000000001,2.47
Arcoverde,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,39.73,53.75,6.05,0.47,6.51,0.35
Barra De Guabiraba,Todas,9º ano,Matemática,169,99.41,28.47,39.48,24.48,7.57,32.05,27.69
Barreiros,Todas,9º ano,Matemática,591,86.29000000000001,50.24,46.17,3.59,0,3.59,0.29
Belém De Maria,Todas,9º ano,Matemática,108,76.84999999999999,55.9,34.54,8.57,0.99,9.56,2.52
Belém De São Francisco,Todas,9º ano,Matemática,205,90.73,28.07,60.98,9.869999999999999,1.08,10.96,5.49
Belo Jardim,Todas,9º ano,Matemática,562,83.81,38,54.92,6.88,0.2,7.08,-0.44
Betânia,Todas,9º ano,Matemática,63,50.79,49.51,50.49,0,0,0,-2.47
Bezerros,Todas,9º ano,Matemática,563,88.98999999999999,24.27,61.53,13.65,0.55,14.2,2.63
Bodocó,Todas,9º ano,Matemática,233,92.7,39.69,53.44,6.48,0.39,6.88,0.5
Bom Conselho,Todas,9º ano,Matemática,400,88.25,28.74,59.37,10.83,1.06,11.89,7.5
Bom Jardim,Todas,9º ano,Matemática,191,92.67,31.8,54.6,12.48,1.12,13.59,8.27
Bonito,Todas,9º ano,Matemática,320,93.44,19.67,46.87,26.58,6.88,33.46,26.49
Brejão,Todas,9º ano,Matemática,139,92.81,28.25,60.03,10.14,1.58,11.72,7.61
Brejinho,Todas,9º ano,Matemática,92,94.56999999999999,20.59,57.12,18.97,3.32,22.29,15.01
Brejo Da Madre De Deus,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,42.32,50.9,6.78,0,6.79,1.16
