Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Acauã,Todas,9º ano,Matemática,45,97.78,11.31,72.62,13.75,2.32,16.07,14.8
Agricolândia,Todas,9º ano,Matemática,52,94.23,22.75,67.08,8.08,2.09,10.17,4.05
Água Branca,Todas,9º ano,Matemática,285,88.06999999999999,38.51,53.64,7.85,0,7.85,-10.04
Alagoinha Do Piauí,Todas,9º ano,Matemática,20,85,23.52,64.72,11.76,0,11.75,8.81
Alegrete Do Piauí,Todas,9º ano,Matemática,53,86.79000000000001,56.47,43.53,0,0,0,-4.58
Alto Longá,Todas,9º ano,Matemática,63,87.3,28.95,62.1,7.24,1.71,8.949999999999999,8.039999999999999
Altos,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,39.65,55.67,4.68,0,4.68,0.55
Alvorada Do Gurguéia,Todas,9º ano,Matemática,63,87.3,45.3,52.2,2.5,0,2.5,-2.38
Amarante,Todas,9º ano,Matemática,143,88.11,62.6,36.66,0.74,0,0.74,0.52
Angical Do Piauí,Todas,9º ano,Matemática,86,84.88,26.56,61.51,11.93,0,11.93,8.449999999999999
Anísio De Abreu,Todas,9º ano,Matemática,92,89.13,41.09,51.32,7.59,0,7.59,-2.9
Antônio Almeida,Todas,9º ano,Matemática,29,89.66,15.39,73.06999999999999,11.54,0,11.54,3.24
Aroazes,Todas,9º ano,Matemática,88,89.77,46.55,48.67,4.78,0,4.78,0.61
Arraial,Todas,9º ano,Matemática,41,73.17,36.43,53.66,6.66,3.25,9.91,6.64
Assunção Do Piauí,Todas,9º ano,Matemática,66,66.67,40.75,54.63,4.62,0,4.62,4.62
Avelino Lopes,Todas,9º ano,Matemática,101,83.17,47.31,51.36,1.33,0,1.33,-0.47
Baixa Grande Do Ribeiro,Todas,9º ano,Matemática,134,98.51000000000001,30.49,62.02,6.75,0.74,7.49,3.36
Barra D'alcântara,Todas,9º ano,Matemática,55,96.36,22.51,69.3,6.14,2.05,8.19,8.19
Barras,Todas,9º ano,Matemática,335,88.95999999999999,36.19,58.41,4.8,0.6,5.4,-2.31
Barreiras Do Piauí,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Barro Duro,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Batalha,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,49.75,47.3,2.95,0,2.95,0.51
Belém Do Piauí,Todas,9º ano,Matemática,51,82.34999999999999,59.47,38.09,2.44,0,2.44,2.44
