Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Acari,Todas,9º ano,Matemática,150,81.33,29.85,60.81,7.3,2.04,9.33,3.26
Açu,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,43.63,52.04,4.33,0,4.33,0.88
Afonso Bezerra,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,40.92,54.54,4.54,0,4.54,4.54
Água Nova,Todas,9º ano,Matemática,28,75,33.32,57.14,9.539999999999999,0,9.539999999999999,5.69
Alexandria,Todas,9º ano,Matemática,172,76.73999999999999,36.3,53.38,10.32,0,10.32,0.05
Almino Afonso,Todas,9º ano,Matemática,40,70,28.58,64.28,3.57,3.57,7.15,-7.51
Alto Do Rodrigues,Todas,9º ano,Matemática,114,80.7,30.77,60.66,6.75,1.82,8.57,6.23
Angicos,Todas,9º ano,Matemática,112,73.20999999999999,39.2,51.97,7.55,1.28,8.83,2.65
Antônio Martins,Todas,9º ano,Matemática,56,76.79000000000001,28.07,69.55,2.38,0,2.38,2.38
Apodi,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,30.42,56.36,12.44,0.78,13.22,0.7
Areia Branca,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,28.37,61.94,9.69,0,9.699999999999999,7.09
Arês,Todas,9º ano,Matemática,112,83.04000000000001,43.59,52.71,3.7,0,3.7,3.7
Augusto Severo,Todas,9º ano,Matemática,98,80.61,40.43,51.69,7.88,0,7.88,-2.71
Baía Formosa,Todas,9º ano,Matemática,82,57.32,38.83,57.05,4.12,0,4.12,1.53
Baraúna,Todas,9º ano,Matemática,204,67.65000000000001,28.56,65.89,4.97,0.58,5.55,1.97
Barcelona,Todas,9º ano,Matemática,54,83.33,44.34,48.81,6.85,0,6.85,-2.83
Bento Fernandes,Todas,9º ano,Matemática,67,79.09999999999999,48.36,46.42,5.22,0,5.22,5.22
Bodó,Todas,9º ano,Matemática,21,95.23999999999999,35,60,5,0,5,1
Bom Jesus,Todas,9º ano,Matemática,82,85.37,37.16,54.16,7.29,1.39,8.68,3.86
Brejinho,Todas,9º ano,Matemática,136,81.62,44.6,50.44,4.96,0,4.96,2.11
Caiçara Do Norte,Todas,9º ano,Matemática,20,90,5.55,55.55,27.8,11.1,38.9,38.9
Caiçara Do Rio Do Vento,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Caicó,Todas,9º ano,Matemática,415,80.95999999999999,27.62,63.12,8.73,0.53,9.26,4.34
Campo Redondo,Todas,9º ano,Matemática,101,71.29000000000001,47.62,49.6,2.78,0,2.78,-0.87
Canguaretama,Todas,9º ano,Matemática,225,76.89,46.97,45.75,7.28,0,7.27,5.87
Caraúbas,Todas,9º ano,Matemática,169,81.06999999999999,31.6,55.37,10.71,2.32,13.02,8.25
Carnaúba Dos Dantas,Todas,9º ano,Matemática,97,87.63,28.4,61.63,7.73,2.24,9.970000000000001,-7.55
Carnaubais,Todas,9º ano,Matemática,79,84.81,35.86,57.04,7.1,0,7.1,1.54
Ceará-Mirim,Todas,9º ano,Matemática,659,72.38,49.18,46,4.82,0,4.82,2.47
Cerro Corá,Todas,9º ano,Matemática,86,80.23,33.2,60.98,5.82,0,5.83,3.83
Coronel Ezequiel,Todas,9º ano,Matemática,37,81.08,20,73.31999999999999,6.68,0,6.68,2.66
Coronel João Pessoa,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Cruzeta,Todas,9º ano,Matemática,90,90,16.39,67.02,11.88,4.71,16.59,4.65
Currais Novos,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,27.34,61.1,9.529999999999999,2.03,11.56,6.03
Doutor Severiano,Todas,9º ano,Matemática,38,100,34.21,52.63,7.9,5.26,13.16,8.609999999999999
Encanto,Todas,9º ano,Matemática,49,81.63,37.2,54.27,8.529999999999999,0,8.529999999999999,4.53
Equador,Todas,9º ano,Matemática,81,87.65000000000001,35.51,55.63,8.859999999999999,0,8.859999999999999,7.02
Espírito Santo,Todas,9º ano,Matemática,80,82.5,52.73,45.79,1.48,0,1.48,1.48
Extremoz,Todas,9º ano,Matemática,286,82.87,33.48,59.88,6.64,0,6.64,5.22
Felipe Guerra,Todas,9º ano,Matemática,88,96.59,23.06,64.84999999999999,10.95,1.14,12.09,-3.17
Fernando Pedroza,Todas,9º ano,Matemática,26,80.77,33.33,61.9,4.77,0,4.77,0
Florânia,Todas,9º ano,Matemática,85,60,46.91,46.74,6.35,0,6.35,0.25
Francisco Dantas,Todas,9º ano,Matemática,21,90.48,68.43000000000001,31.57,0,0,0,0
Frutuoso Gomes,Todas,9º ano,Matemática,27,81.48,36.37,59.07,0,4.56,4.56,-7.92
