Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Aceguá,Todas,9º ano,Matemática,21,90.48,10.51,63.15,21.06,5.28,26.3,26.34
Água Santa,Todas,9º ano,Matemática,33,90.91,16.8,49.82,26.72,6.66,33.38,23.21
Agudo,Todas,9º ano,Matemática,58,86.20999999999999,12.07,49.39,28.17,10.37,38.56,25.06
Ajuricaba,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Alecrim,Todas,9º ano,Matemática,40,85,8.710000000000001,52.71,38.58,0,38.58,9.720000000000001
Alegrete,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,37.64,53.94,7.56,0.86,8.41,-0.6899999999999999
Alegria,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Alpestre,Todas,9º ano,Matemática,22,86.36,10.53,84.2,5.27,0,5.27,-11.46
Alto Feliz,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Alvorada,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,33.01,58.8,8.119999999999999,0.07000000000000001,8.19,2.68
Amaral Ferrador,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Ametista Do Sul,Todas,9º ano,Matemática,86,79.06999999999999,33.7,58.93,5.89,1.48,7.37,-1.34
Anta Gorda,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Antônio Prado,Todas,9º ano,Matemática,57,92.98,22.74,60.37,11.23,5.66,16.87,-9.949999999999999
Araricá,Todas,9º ano,Matemática,45,88.89,4.84,74.92,15.05,5.19,20.24,3.2
Aratiba,Todas,9º ano,Matemática,21,95.23999999999999,9.99,50,35.01,5,39.99,13.56
Arroio Do Meio,Todas,9º ano,Matemática,156,92.95,7.32,53.01,36.26,3.41,39.67,6.67
Arroio Do Padre,Todas,9º ano,Matemática,51,96.08,15.78,68.09999999999999,16.12,0,16.12,4.6
Arroio Do Sal,Todas,9º ano,Matemática,87,82.76000000000001,24.52,58.67,16.81,0,16.81,-1.53
Arroio Do Tigre,Todas,9º ano,Matemática,39,76.92,31.53,50.37,15.08,3.02,18.1,-7.62
Arroio Dos Ratos,Todas,9º ano,Matemática,94,86.17,30.69,62.51,6.8,0,6.8,-6.46
Arroio Grande,Todas,9º ano,Matemática,95,76.84,33.02,53,12.82,1.16,13.97,1.55
Arvorezinha,Todas,9º ano,Matemática,43,100,27.94,41.26,23.71,7.09,30.81,16.09
Augusto Pestana,Todas,9º ano,Matemática,21,80.95,11.74,82.36,5.9,0,5.9,-10.76
Áurea,Todas,9º ano,Matemática,30,100,30,56.68,9.99,3.33,13.35,0.99
Bagé,Todas,9º ano,Matemática,947,83.73999999999999,29.95,58.11,11.73,0.21,11.94,7.77
Balneário Pinhal,Todas,9º ano,Matemática,107,71.95999999999999,39.44,51.25,8.33,0.98,9.32,6.86
Barão,Todas,9º ano,Matemática,21,95.23999999999999,9.99,55,35.01,0,35,3.42
Barão De Cotegipe,Todas,9º ano,Matemática,40,82.5,39.54,42.16,18.3,0,18.3,-0.43
Barão Do Triunfo,Todas,9º ano,Matemática,54,77.78,21.81,64.48999999999999,13.7,0,13.7,7.17
Barra Do Guarita,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Barra Do Quaraí,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Barra Do Ribeiro,Todas,9º ano,Matemática,98,85.70999999999999,18.46,77.72,3.82,0,3.82,-5.4
Barracão,Todas,9º ano,Matemática,31,96.77,26.67,53.34,19.99,0,19.99,3.89
Barros Cassal,Todas,9º ano,Matemática,31,83.87,11.76,88.23999999999999,0,0,0,-5.32
Bento Gonçalves,Todas,9º ano,Matemática,687,82.81999999999999,14.77,57.61,24.21,3.41,27.63,10.03
Boa Vista Do Buricá,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Boa Vista Do Cadeado,Todas,9º ano,Matemática,27,92.59,32,64,4,0,4,-3.42
Boa Vista Do Incra,Todas,9º ano,Matemática,23,56.52,61.53,30.79,7.68,0,7.69,-4.44
Bom Jesus,Todas,9º ano,Matemática,59,86.44,21.43,64.89,9.85,3.83,13.68,8.779999999999999
Bom Princípio,Todas,9º ano,Matemática,109,97.25,7.43,55,26.56,11.01,37.58,-8.33
Bom Retiro Do Sul,Todas,9º ano,Matemática,96,82.29000000000001,9.279999999999999,63.59,22.7,4.43,27.13,-1.54
Boqueirão Do Leão,Todas,9º ano,Matemática,21,85.70999999999999,38.9,55.54,5.56,0,5.56,-8.470000000000001
Bossoroca,Todas,9º ano,Matemática,30,86.67,21.1,75.37,3.53,0,3.53,-8.390000000000001
Braga,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Brochier,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Butiá,Todas,9º ano,Matemática,145,77.23999999999999,27.52,59.49,12.99,0,12.99,4.55
Caçapava Do Sul,Todas,9º ano,Matemática,164,82.31999999999999,20.06,62.07,17.13,0.74,17.87,10.18
Cacequi,Todas,9º ano,Matemática,85,75.29000000000001,40.37,50.08,9.550000000000001,0,9.550000000000001,7.73
Cachoeira Do Sul,Todas,9º ano,Matemática,399,77.94,18.95,61.74,17.97,1.34,19.31,6.35
