Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Angra Dos Reis,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,39.99,51.64,7.44,0.93,8.369999999999999,0.53
Aperibé,Todas,9º ano,Matemática,96,97.92,21.25,56.48,19.09,3.18,22.27,5.06
Araruama,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,32.28,57.67,9.34,0.71,10.05,1.64
Areal,Todas,9º ano,Matemática,69,82.61,36.58,54.36,9.06,0,9.06,-1.9
Armação Dos Búzios,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,22.05,59.54,14.78,3.63,18.41,4.24
Arraial Do Cabo,Todas,9º ano,Matemática,212,75.47,26.69,61.74,10.89,0.68,11.57,2.31
Barra Do Piraí,Todas,9º ano,Matemática,770,86.23,33.56,55.36,10.26,0.82,11.08,0.84
Barra Mansa,Todas,9º ano,Matemática,1644,87.23,21.51,57.71,18.25,2.53,20.78,3.17
Belford Roxo,Todas,9º ano,Matemática,4354,81.19,46.17,49.28,4.24,0.31,4.55,0.24
Bom Jardim,Todas,9º ano,Matemática,236,89.83,15.57,55.17,25.96,3.3,29.25,3.16
Bom Jesus Do Itabapoana,Todas,9º ano,Matemática,393,86.77,25.27,45.41,24.71,4.61,29.33,10.43
Cabo Frio,Todas,9º ano,Matemática,2302,80.84,34.89,54.34,10.03,0.74,10.77,0.26
Cachoeiras De Macacu,Todas,9º ano,Matemática,505,85.73999999999999,22.46,61.35,15.54,0.65,16.19,3.66
Cambuci,Todas,9º ano,Matemática,124,95.16,33.89,41.2,18.94,5.97,24.9,-15.17
Campos Dos Goytacazes,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,35.19,55.56,8.41,0.84,9.24,-0.41
Cantagalo,Todas,9º ano,Matemática,174,89.66,20.01,62.09,16.67,1.23,17.9,-10.19
Carapebus,Todas,9º ano,Matemática,149,73.15000000000001,29.09,61.79,9.119999999999999,0,9.109999999999999,3.99
Cardoso Moreira,Todas,9º ano,Matemática,90,83.33,18.65,64.68000000000001,12.67,4,16.67,-1.76
Carmo,Todas,9º ano,Matemática,154,91.56,31.27,46.61,19.56,2.56,22.13,1.76
Casimiro De Abreu,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,27.87,59.51,12.1,0.52,12.62,0.57
Comendador Levy Gasparian ,Todas,9º ano,Matemática,91,87.91,22.29,52.08,23.27,2.36,25.64,9.06
Conceição De Macabu,Todas,9º ano,Matemática,269,84.39,42.32,49.63,7.52,0.53,8.06,2.79
Cordeiro,Todas,9º ano,Matemática,215,86.98,23.01,61.35,14.2,1.44,15.64,-1.32
Duas Barras,Todas,9º ano,Matemática,94,88.3,19.55,64.29000000000001,14.03,2.13,16.16,-10.85
Duque De Caxias,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,44.67,49.5,5.32,0.51,5.83,0.29
Engenheiro Paulo De Frontin ,Todas,9º ano,Matemática,70,91.43000000000001,17.19,68.64,14.17,0,14.17,2.44
Guapimirim,Todas,9º ano,Matemática,360,88.06,33.34,55.76,9.720000000000001,1.18,10.9,2.37
Iguaba Grande,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,33.52,55.58,10.9,0,10.9,0.75
Itaboraí,Todas,9º ano,Matemática,1811,84.26000000000001,34.84,56.41,8.130000000000001,0.62,8.75,2.44
Itaguaí,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,44.58,51.19,3.91,0.32,4.23,-0.93
Italva,Todas,9º ano,Matemática,135,94.81,11.47,54.15,27.51,6.87,34.39,4.8
Itaocara,Todas,9º ano,Matemática,253,98.02,16.71,56.37,23.78,3.14,26.92,-8.369999999999999
Itaperuna,Todas,9º ano,Matemática,879,91.23999999999999,20.51,55.69,20.5,3.3,23.8,3.14
Itatiaia,Todas,9º ano,Matemática,236,91.53,21.7,65.61,12.19,0.5,12.69,-2.35
Japeri,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,53.35,44.39,2.05,0.21,2.26,-0.65
Laje Do Muriaé,Todas,9º ano,Matemática,122,89.34,30.58,60.79,6.84,1.79,8.640000000000001,-11.55
Macaé,Todas,9º ano,Matemática,2140,79.77,21.86,60.06,16.25,1.83,18.08,6.46
Macuco,Todas,9º ano,Matemática,103,96.12,26.67,55.57,15.82,1.94,17.76,6.7
Magé,Todas,9º ano,Matemática,2347,82.53,37.89,54.49,7.04,0.58,7.61,2.33
Mangaratiba,Todas,9º ano,Matemática,391,77.23999999999999,27.67,56.6,13.78,1.95,15.73,1.53
Maricá,Todas,9º ano,Matemática,1127,81.28,30.78,56.85,11.35,1.02,12.37,-1.09
Mendes,Todas,9º ano,Matemática,162,85.8,27.1,58.08,11.33,3.49,14.82,-3.93
Mesquita,Todas,9º ano,Matemática,1524,76.97,46.18,47.3,5.91,0.61,6.51,0.41
Miguel Pereira,Todas,9º ano,Matemática,329,88.15000000000001,25.86,49.74,21.01,3.39,24.4,-5.91
Miracema,Todas,9º ano,Matemática,296,90.54000000000001,24.38,55.53,16,4.09,20.09,0.6899999999999999
Natividade,Todas,9º ano,Matemática,164,90.23999999999999,38.86,49.84,10.66,0.64,11.3,0.27
Nilópolis,Todas,9º ano,Matemática,1573,84.17,39.31,54.03,6.02,0.64,6.66,0.5
Niterói,Todas,9º ano,Matemática,3318,72.18000000000001,34.01,54.93,10.29,0.77,11.06,0.46
Nova Friburgo,Todas,9º ano,Matemática,1271,84.81999999999999,15.46,56.55,24.13,3.86,27.99,2.69
Nova Iguaçu,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,42.21,50.67,6.49,0.63,7.12,1.35
Paracambi,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,28.05,58.75,11.2,2,13.2,2.17
Paraíba Do Sul,Todas,9º ano,Matemática,430,86.98,26.66,58.39,13.18,1.77,14.95,-4.52
Parati,Todas,9º ano,Matemática,469,84.65000000000001,19.26,59.8,18.16,2.78,20.94,7.51
Paty Do Alferes,Todas,9º ano,Matemática,334,83.53,27.97,56.44,14.2,1.39,15.59,2.36
Petrópolis,Todas,9º ano,Matemática,2322,81.56999999999999,23.74,60.82,13.4,2.04,15.44,0.09
Pinheiral,Todas,9º ano,Matemática,134,82.09,26.91,55.61,15.92,1.56,17.47,1.74
Piraí,Todas,9º ano,Matemática,404,92.81999999999999,21.33,56.08,20.17,2.42,22.59,0.02
Porciúncula,Todas,9º ano,Matemática,205,97.06999999999999,23.01,58.85,15.16,2.98,18.14,4.26
Porto Real,Todas,9º ano,Matemática,191,79.06,18.42,63.05,18.53,0,18.53,0.24
Quatis,Todas,9º ano,Matemática,136,91.91,13.73,70.17,15.4,0.7,16.1,5.71
Queimados,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,46.98,48.03,4.84,0.15,4.98,0.58
Quissamã,Todas,9º ano,Matemática,231,86.58,23.58,54.24,19.85,2.33,22.18,16.23
Resende,Todas,9º ano,Matemática,1233,83.94,22.83,60.1,15.11,1.96,17.07,0.53
Rio Bonito,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,33.41,56.14,9.199999999999999,1.25,10.45,0.13
Rio Claro,Todas,9º ano,Matemática,146,78.77,20.05,59.61,19.56,0.78,20.34,3.09
Rio Das Flores,Todas,9º ano,Matemática,67,92.54000000000001,22.68,64.38,11.36,1.58,12.96,-4.27
Rio Das Ostras,Todas,9º ano,Matemática,1639,85.36,17.48,59.43,19.04,4.05,23.09,5.71
Rio De Janeiro,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,25.07,55.4,16.03,3.5,19.53,0.87
Santa Maria Madalena,Todas,9º ano,Matemática,84,77.38,21.53,57.18,18.29,3,21.29,4.6
Santo Antônio De Pádua,Todas,9º ano,Matemática,433,90.06999999999999,21.38,46.56,24.2,7.86,32.06,6.68
São Fidélis,Todas,9º ano,Matemática,338,90.23999999999999,27.62,58.42,12.59,1.37,13.96,-4.75
São Francisco De Itabapoana,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,15.16,58.74,24.81,1.29,26.11,11.38
São Gonçalo,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,41.04,52.67,5.9,0.39,6.29,0.04
São João Da Barra,Todas,9º ano,Matemática,205,87.31999999999999,22.54,63.74,10.99,2.73,13.72,2.01
São João De Meriti,Todas,9º ano,Matemática,4062,81.48999999999999,42.59,50.57,6.25,0.59,6.84,1.15
São José De Ubá,Todas,9º ano,Matemática,76,82.89,30.12,54.13,13.96,1.79,15.75,9.02
São José Do Vale Do Rio Preto,Todas,9º ano,Matemática,170,86.47,21.69,54,21.75,2.56,24.31,9.699999999999999
São Pedro Da Aldeia,Todas,9º ano,Matemática,864,81.59999999999999,36.34,53.43,9.34,0.89,10.23,0.99
São Sebastião Do Alto,Todas,9º ano,Matemática,66,87.88,24.37,63.72,11.91,0,11.91,-8.24
Sapucaia,Todas,9º ano,Matemática,189,85.70999999999999,26.11,58.72,14.42,0.75,15.17,-0.88
Saquarema,Todas,9º ano,Matemática,778,81.88,30.01,59.54,8.58,1.87,10.45,-5.62
Seropédica,Todas,9º ano,Matemática,620,78.55,37.87,55.52,6.23,0.38,6.61,0.48
Silva Jardim,Todas,9º ano,Matemática,150,82.67,34.63,56.03,9.34,0,9.34,1.13
Sumidouro,Todas,9º ano,Matemática,76,89.47,14.63,60.36,17.67,7.34,25.01,1.6
Tanguá,Todas,9º ano,Matemática,256,91.41,29.3,61.91,8.4,0.39,8.789999999999999,2.95
