Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Alta Floresta D'oeste,Todas,9º ano,Matemática,143,78.31999999999999,28.21,59.58,12.21,0,12.21,6.27
Alto Alegre Dos Parecis,Todas,9º ano,Matemática,74,66.22,21.11,62.49,16.4,0,16.41,4.68
Alto Paraíso,Todas,9º ano,Matemática,145,78.62,26.56,58.38,13.3,1.76,15.06,9.039999999999999
Alvorada D'oeste,Todas,9º ano,Matemática,123,84.55,37.77,52.46,7.1,2.67,9.76,3.27
Ariquemes,Todas,9º ano,Matemática,1057,82.78,21.07,64.25,13.3,1.38,14.68,3.32
Buritis,Todas,9º ano,Matemática,440,82.5,26.88,60.15,11.72,1.25,12.96,3.12
Cabixi,Todas,9º ano,Matemática,69,89.86,29.55,62.42,8.029999999999999,0,8.029999999999999,2.62
Cacaulândia,Todas,9º ano,Matemática,56,89.29000000000001,30.25,58.02,11.73,0,11.73,9.98
Cacoal,Todas,9º ano,Matemática,660,86.06,22.33,65.51000000000001,10.54,1.62,12.16,0.72
Campo Novo De Rondônia,Todas,9º ano,Matemática,44,86.36,8.59,69.93000000000001,19.32,2.16,21.5,16.51
Candeias Do Jamari,Todas,9º ano,Matemática,243,68.31,33.03,58.94,8.029999999999999,0,8.029999999999999,1.54
Castanheiras,Todas,9º ano,Matemática,35,100,57.23,42.77,0,0,0,0
Cerejeiras,Todas,9º ano,Matemática,166,85.54000000000001,27.76,60.08,10.7,1.46,12.15,-0.99
Chupinguaia,Todas,9º ano,Matemática,80,82.5,24.7,65.08,10.22,0,10.23,2.82
Colorado Do Oeste,Todas,9º ano,Matemática,182,83.52,27.54,49.63,21.5,1.33,22.83,9.550000000000001
Corumbiara,Todas,9º ano,Matemática,27,100,22.22,62.96,11.11,3.71,14.81,0.75
Costa Marques,Todas,9º ano,Matemática,25,56,35.72,64.28,0,0,0,-3.81
Cujubim,Todas,9º ano,Matemática,146,66.44,34.7,49.54,13.88,1.88,15.75,8.359999999999999
Espigão D'oeste,Todas,9º ano,Matemática,277,91.7,21.32,61.69,14.65,2.34,16.99,0.45
Governador Jorge Teixeira,Todas,9º ano,Matemática,38,100,30.66,67.02,2.32,0,2.32,1.22
Guajará-Mirim,Todas,9º ano,Matemática,576,82.47,40.92,53.73,5.18,0.17,5.35,-0.5600000000000001
Itapuã Do Oeste,Todas,9º ano,Matemática,108,78.7,31.26,65.43000000000001,3.31,0,3.31,-1.79
Jaru,Todas,9º ano,Matemática,404,84.16,28.19,61.61,9.56,0.64,10.2,2.83
Ji-Paraná,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,29.08,58.17,11.78,0.97,12.75,1.37
Machadinho D'oeste,Todas,9º ano,Matemática,199,74.87,26.81,57.77,13.99,1.43,15.41,7.44
Ministro Andreazza,Todas,9º ano,Matemática,86,80.23,19.75,61.11,19.14,0,19.14,2.54
Mirante Da Serra,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,11.45,76.73999999999999,11.81,0,11.81,0.11
Monte Negro,Todas,9º ano,Matemática,88,80.68000000000001,13.98,65.18000000000001,19.48,1.36,20.84,8.529999999999999
Nova Brasilândia D'oeste,Todas,9º ano,Matemática,151,88.08,16.96,57.5,23.46,2.08,25.54,10.94
Nova Mamoré,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,34.44,58.35,7.21,0,7.21,-3.98
Nova União,Todas,9º ano,Matemática,40,75,42.69,51.96,5.35,0,5.35,2.63
Novo Horizonte Do Oeste,Todas,9º ano,Matemática,47,89.36,9.51,59.53,26.24,4.72,30.98,22.68
Ouro Preto Do Oeste,Todas,9º ano,Matemática,331,80.36,19.96,61.94,15.48,2.62,18.09,8.109999999999999
Parecis,Todas,9º ano,Matemática,24,95.83,30.43,60.9,4.34,4.33,8.710000000000001,-2.59
Pimenta Bueno,Todas,9º ano,Matemática,353,85.55,21.39,56.31,20.62,1.68,22.3,10.74
Pimenteiras Do Oeste,Todas,9º ano,Matemática,26,88.45999999999999,21.73,56.54,21.73,0,21.73,21.73
Porto Velho,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,27.28,62.03,10.13,0.5600000000000001,10.69,2.32
Presidente Médici,Todas,9º ano,Matemática,167,77.84,18.16,63.68,16.72,1.44,18.16,-3.23
Primavera De Rondônia,Todas,9º ano,Matemática,43,90.7,21.56,63.22,12.47,2.75,15.23,10.19
Rio Crespo,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Rolim De Moura,Todas,9º ano,Matemática,574,87.28,18.65,63.47,16.66,1.22,17.88,7.12
Santa Luzia D'oeste,Todas,9º ano,Matemática,82,95.12,21.65,61.82,11.51,5.02,16.52,5.6
São Felipe D'oeste,Todas,9º ano,Matemática,64,79.69,40.23,49.52,10.25,0,10.25,6.83
São Francisco Do Guaporé,Todas,9º ano,Matemática,165,83.03,16.3,61.32,21.69,0.6899999999999999,22.38,17.32
São Miguel Do Guaporé,Todas,9º ano,Matemática,184,91.3,37.09,56.95,5.45,0.51,5.96,-2.24
Seringueiras,Todas,9º ano,Matemática,155,57.42,14.49,70.95,13.41,1.15,14.56,10.27
Teixeirópolis,Todas,9º ano,Matemática,27,74.06999999999999,30,55,15,0,15,8.75
Theobroma,Todas,9º ano,Matemática,58,62.07,14.71,65.64,19.65,0,19.66,12.64
Urupá,Todas,9º ano,Matemática,65,78.45999999999999,17.95,55.15,22.87,4.03,26.91,4.93
Vale Do Anari,Todas,9º ano,Matemática,71,91.55,25,58.26,15.29,1.45,16.73,8.66
Vale Do Paraíso,Todas,9º ano,Matemática,89,98.88,17.03,69.70999999999999,12.14,1.12,13.26,1.78
Vilhena,Todas,9º ano,Matemática,1063,80.43000000000001,21.49,62.18,15.59,0.74,16.33,5.31
