Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Alto Alegre,Todas,9º ano,Matemática,151,71.52,58.44,34.88,5,1.68,6.68,3.15
Amajari,Todas,9º ano,Matemática,21,100,43.48,47.83,8.69,0,8.69,8.69
Boa Vista,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,41.81,50.79,6.24,1.16,7.39,0.6
Bonfim,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,53.26,46.74,0,0,0,-1.78
Cantá,Todas,9º ano,Matemática,34,100,56.94,40.29,2.77,0,2.77,1.17
Caracaraí,Todas,9º ano,Matemática,140,72.14,45.37,51.32,3.31,0,3.31,0.17
Caroebe,Todas,9º ano,Matemática,96,78.13,45.46,51.07,3.47,0,3.46,-4
Iracema,Todas,9º ano,Matemática,97,81.44,45.57,52.25,2.18,0,2.18,-0.97
Mucajaí,Todas,9º ano,Matemática,209,87.08,53.71,41.82,3.92,0.55,4.47,1.3
Normandia,Todas,9º ano,Matemática,76,81.58,53.06,44.2,2.74,0,2.74,0.19
Pacaraima,Todas,9º ano,Matemática,151,72.19,43.63,51.42,3.89,1.06,4.95,3.14
Rorainópolis,Todas,9º ano,Matemática,311,82.95999999999999,41.01,56.55,2.44,0,2.44,-2.52
São João Da Baliza,Todas,9º ano,Matemática,85,80,39.42,54.04,6.54,0,6.54,1.41
São Luiz,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Uiramutã,Todas,9º ano,Matemática,21,61.9,61.54,38.46,0,0,0,0
