Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Abdon Batista,Todas,9º ano,Matemática,33,100,20.42,59.67,19.91,0,19.91,-1.46
Abelardo Luz,Todas,9º ano,Matemática,204,75.98,19.04,56.93,21.29,2.74,24.03,16.89
Agrolândia,Todas,9º ano,Matemática,136,92.65000000000001,19.25,59.55,18.72,2.48,21.19,10.18
Agronômica,Todas,9º ano,Matemática,46,89.13,20.59,55.76,16.5,7.15,23.65,11.24
Água Doce,Todas,9º ano,Matemática,69,75.36,15.32,61.23,21.7,1.75,23.45,12.87
Águas De Chapecó,Todas,9º ano,Matemática,75,50.67,10.76,55.2,31.35,2.69,34.04,16.93
Águas Frias,Todas,9º ano,Matemática,41,97.56,19.78,50.06,27.6,2.56,30.17,13.13
Águas Mornas,Todas,9º ano,Matemática,95,92.63,14.67,56.82,26.31,2.2,28.51,6.94
Alfredo Wagner,Todas,9º ano,Matemática,75,93.33,13.85,67.16,18.99,0,18.99,7.32
Anchieta,Todas,9º ano,Matemática,73,90.41,15.25,57.42,27.33,0,27.33,8.08
Angelina,Todas,9º ano,Matemática,24,100,13.45,42.78,36.19,7.58,43.75,27.79
Anita Garibaldi,Todas,9º ano,Matemática,99,91.92,24.63,61.31,14.06,0,14.06,2.72
Anitápolis,Todas,9º ano,Matemática,53,94.34,14.02,60.09,23.85,2.04,25.89,11.1
Antônio Carlos,Todas,9º ano,Matemática,158,89.23999999999999,7.05,38.71,44.47,9.77,54.25,29.54
Apiúna,Todas,9º ano,Matemática,73,82.19,13.44,57.75,25.38,3.43,28.82,25.64
Arabutã,Todas,9º ano,Matemática,62,93.55,12.08,58.97,28.95,0,28.95,14.18
Araquari,Todas,9º ano,Matemática,400,75.75,24.75,60.14,14.51,0.6,15.11,9.98
Araranguá,Todas,9º ano,Matemática,597,89.61,21.78,58.04,18.03,2.15,20.18,10.58
Armazém,Todas,9º ano,Matemática,61,96.72,1.87,63.21,29.74,5.18,34.9,16.09
Arroio Trinta,Todas,9º ano,Matemática,56,98.20999999999999,10.79,52.88,36.33,0,36.34,15.54
Arvoredo,Todas,9º ano,Matemática,39,97.44,27.23,55.05,17.72,0,17.72,-8.5
Ascurra,Todas,9º ano,Matemática,85,94.12,21.39,62.28,15.01,1.32,16.34,4.64
Atalanta,Todas,9º ano,Matemática,56,87.5,2,51.25,36.59,10.16,46.75,21.68
Aurora,Todas,9º ano,Matemática,85,96.47,12.35,52.39,27.88,7.38,35.26,20.29
Balneário Arroio Do Silva,Todas,9º ano,Matemática,87,81.61,14.65,63.11,19.48,2.76,22.24,7.42
Balneário Barra Do Sul,Todas,9º ano,Matemática,125,86.40000000000001,28.02,68.13,3.85,0,3.85,-3.22
Balneário Camboriú,Todas,9º ano,Matemática,732,81.69,18.37,62.41,17.71,1.51,19.23,4.6
Balneário Gaivota,Todas,9º ano,Matemática,41,90.23999999999999,13.58,56.73,24.32,5.37,29.68,19.01
Balneário Piçarras,Todas,9º ano,Matemática,244,82.79000000000001,16.75,67.88,14.42,0.95,15.37,6.84
Balneário Rincão,Todas,9º ano,Matemática,99,76.77,12.63,76.34,9.85,1.18,11.03,5.66
Bandeirante,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Barra Velha,Todas,9º ano,Matemática,331,80.06,25.51,58.93,14.75,0.8100000000000001,15.56,4.51
Bela Vista Do Toldo,Todas,9º ano,Matemática,93,94.62,25.09,59.04,15.87,0,15.87,11.82
Belmonte,Todas,9º ano,Matemática,38,86.84,18.39,81.61,0,0,0,-22.86
Benedito Novo,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Biguaçu,Todas,9º ano,Matemática,677,80.65000000000001,23.37,62.46,12.54,1.63,14.17,7.77
Blumenau,Todas,9º ano,Matemática,3264,91.05,11.45,57.13,27.24,4.18,31.41,12.64
Bocaina Do Sul,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Bom Jardim Da Serra,Todas,9º ano,Matemática,37,89.19,38.73,55.35,5.92,0,5.92,3.99
Bom Jesus,Todas,9º ano,Matemática,35,77.14,11.14,73.86,11.26,3.74,15,1.71
Bom Jesus Do Oeste,Todas,9º ano,Matemática,24,91.67,22.72,72.73999999999999,4.54,0,4.54,-8.779999999999999
Bom Retiro,Todas,9º ano,Matemática,103,92.23,13.48,66.06999999999999,18.25,2.2,20.46,17.47
Bombinhas,Todas,9º ano,Matemática,126,81.75,33.52,51.35,14.22,0.91,15.13,0.09
Botuverá,Todas,9º ano,Matemática,47,95.73999999999999,21.85,60.94,12.96,4.25,17.21,3.79
Braço Do Norte,Todas,9º ano,Matemática,322,84.78,20.92,56.42,19.1,3.56,22.66,11.62
Braço Do Trombudo,Todas,9º ano,Matemática,31,93.55,13.81,55.16,31.03,0,31.03,18.5
Brunópolis,Todas,9º ano,Matemática,38,94.73999999999999,16.84,55.45,27.71,0,27.71,15.21
Brusque,Todas,9º ano,Matemática,1293,84.92,17.35,58.13,21.74,2.78,24.52,10.25
Caçador,Todas,9º ano,Matemática,786,82.95,26.52,58.43,13.58,1.47,15.05,7.73
Caibi,Todas,9º ano,Matemática,86,95.34999999999999,14.2,61.53,20.78,3.49,24.27,11.87
Calmon,Todas,9º ano,Matemática,66,69.7,32.42,56.49,11.09,0,11.09,8.83
Camboriú,Todas,9º ano,Matemática,654,81.34999999999999,22.95,63.05,13.25,0.75,14,5.11
Campo Alegre,Todas,9º ano,Matemática,151,87.42,16.81,58.27,23.42,1.5,24.92,16.47
Campo Belo Do Sul,Todas,9º ano,Matemática,61,96.72,20.49,62.41,13.71,3.39,17.1,14.62
Campo Erê,Todas,9º ano,Matemática,144,90.97,24.27,59.41,14.8,1.52,16.32,6.67
Campos Novos,Todas,9º ano,Matemática,302,87.75,20.69,59.72,16.55,3.04,19.59,11.67
Canelinha,Todas,9º ano,Matemática,106,90.56999999999999,30.61,44.56,22.81,2.02,24.84,16.43
Canoinhas,Todas,9º ano,Matemática,737,91.59,12.38,60.33,24.55,2.74,27.28,13.33
Capão Alto,Todas,9º ano,Matemática,31,77.42,41.68,54.16,4.16,0,4.16,4.16
Capinzal,Todas,9º ano,Matemática,279,86.38,15.73,54,27.04,3.23,30.27,3.65
Capivari De Baixo,Todas,9º ano,Matemática,215,81.40000000000001,19.4,65.34,13.46,1.8,15.26,10.93
Catanduvas,Todas,9º ano,Matemática,74,91.89,27.72,63.44,7.34,1.5,8.84,1.25
Caxambu Do Sul,Todas,9º ano,Matemática,24,75,50,50,0,0,0,-5.26
Celso Ramos,Todas,9º ano,Matemática,41,92.68000000000001,24.12,55.29,20.59,0,20.59,3.43
Cerro Negro,Todas,9º ano,Matemática,42,61.9,37.26,59.41,3.33,0,3.33,0.82
Chapadão Do Lageado,Todas,9º ano,Matemática,29,82.76000000000001,16.66,70.84999999999999,12.49,0,12.48,5.13
Chapecó,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,13,59.75,24.3,2.95,27.25,13.25
Cocal Do Sul,Todas,9º ano,Matemática,195,98.97,20.17,57.43,19.87,2.53,22.4,0.12
Concórdia,Todas,9º ano,Matemática,227,84.14,10.86,60.33,25.72,3.09,28.81,9.15
Cordilheira Alta,Todas,9º ano,Matemática,53,100,11.32,71.34,17.34,0,17.34,8.970000000000001
Coronel Freitas,Todas,9º ano,Matemática,112,91.06999999999999,12.75,58.75,27.65,0.85,28.5,19.06
Coronel Martins,Todas,9º ano,Matemática,25,92,13.04,56.52,26.08,4.36,30.44,11.73
