Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Amparo De São Francisco  ,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Aquidabã,Todas,9º ano,Matemática,160,66.88,40.38,56.01,3.61,0,3.61,2.03
Aracaju,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,33.82,58.36,7.29,0.53,7.82,1.24
Arauá,Todas,9º ano,Matemática,100,80,56.09,43.91,0,0,0,-1.06
Areia Branca,Todas,9º ano,Matemática,152,57.24,35.74,56.48,6.72,1.06,7.79,6.1
Barra Dos Coqueiros,Todas,9º ano,Matemática,207,72.95,30.95,64.95,4.1,0,4.1,2.36
Boquim,Todas,9º ano,Matemática,287,76.31,28.15,61.09,9.699999999999999,1.06,10.76,7.76
Brejo Grande,Todas,9º ano,Matemática,57,73.68000000000001,39,58.33,2.67,0,2.67,1.74
Campo Do Brito,Todas,9º ano,Matemática,97,79.38,32.48,59.5,8.02,0,8.02,-0.58
Canhoba,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,63.16,36.84,0,0,0,-3.31
Canindé De São Francisco,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,32.68,62.43,4.36,0.53,4.89,-1.45
Capela,Todas,9º ano,Matemática,269,80.3,46.88,48.25,4.48,0.39,4.87,3.91
Carira,Todas,9º ano,Matemática,195,71.79000000000001,40.55,55.72,3.73,0,3.73,1.45
Carmópolis,Todas,9º ano,Matemática,108,86.11,31.04,60.42,8.539999999999999,0,8.539999999999999,4.96
Cedro De São João,Todas,9º ano,Matemática,63,85.70999999999999,34.97,46.55,15.16,3.32,18.48,12.78
Cristinápolis,Todas,9º ano,Matemática,248,84.27,39.09,57.76,3.15,0,3.15,-2.5
Cumbe,Todas,9º ano,Matemática,27,77.78,42.85,57.15,0,0,0,-5.58
Divina Pastora,Todas,9º ano,Matemática,49,87.76000000000001,40.15,54.63,2.61,2.61,5.22,0
Estância,Todas,9º ano,Matemática,491,81.26000000000001,40.66,53.69,5.39,0.26,5.65,3.29
Feira Nova,Todas,9º ano,Matemática,64,65.63,50.33,49.67,0,0,0,0
Frei Paulo,Todas,9º ano,Matemática,105,79.05,26.17,69.31,4.52,0,4.52,0.87
Gararu,Todas,9º ano,Matemática,68,79.41,40.27,49.46,8.43,1.84,10.26,5.35
General Maynard,Todas,9º ano,Matemática,30,90,37.03,62.97,0,0,0,-2.59
Gracho Cardoso,Todas,9º ano,Matemática,76,76.31999999999999,29.6,58.51,7.63,4.26,11.88,10.77
Ilha Das Flores,Todas,9º ano,Matemática,90,78.89,43.85,52.08,4.07,0,4.07,3.01
Indiaroba,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,54,44.09,1.91,0,1.91,1.03
Itabaiana,Todas,9º ano,Matemática,821,72.34999999999999,32.81,59.24,7.27,0.68,7.95,1.73
Itabaianinha,Todas,9º ano,Matemática,378,81.22,31.64,59.58,8.779999999999999,0,8.779999999999999,4.5
Itabi,Todas,9º ano,Matemática,62,83.87,27.02,65.61,7.37,0,7.37,-1.72
Itaporanga D'ajuda,Todas,9º ano,Matemática,266,72.93000000000001,40.25,56.12,3.63,0,3.63,0.32
Japaratuba,Todas,9º ano,Matemática,183,85.79000000000001,36.19,58.82,4.4,0.59,4.99,1.29
Japoatã,Todas,9º ano,Matemática,91,78.02,42.54,53.02,4.44,0,4.44,-0.1
Lagarto,Todas,9º ano,Matemática,577,87,30.12,57.81,11.1,0.97,12.07,3.61
Laranjeiras,Todas,9º ano,Matemática,249,65.45999999999999,61.87,37.07,1.06,0,1.06,-1.12
Macambira,Todas,9º ano,Matemática,106,87.73999999999999,42.96,50.16,6.88,0,6.88,3.05
Malhada Dos Bois,Todas,9º ano,Matemática,24,79.17,26.32,63.14,10.54,0,10.54,10.54
Malhador,Todas,9º ano,Matemática,74,79.73,26.24,65.81,7.95,0,7.95,4.7
Maruim,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,32.26,61.28,6.46,0,6.46,4.52
Moita Bonita,Todas,9º ano,Matemática,107,84.11,18.87,64.12,17.01,0,17.01,1.44
Monte Alegre De Sergipe,Todas,9º ano,Matemática,126,71.43000000000001,28.15,59.53,11.43,0.89,12.32,12.32
Muribeca,Todas,9º ano,Matemática,69,66.67,53.19,42.1,4.71,0,4.71,-6.32
Neópolis,Todas,9º ano,Matemática,141,76.59999999999999,36.09,56.67,6.45,0.79,7.24,2.43
Nossa Senhora Aparecida,Todas,9º ano,Matemática,100,73,34.45,63.36,2.19,0,2.19,-6.82
Nossa Senhora Da Glória,Todas,9º ano,Matemática,411,71.29000000000001,37.87,53.99,8.140000000000001,0,8.140000000000001,1.91
Nossa Senhora Das Dores,Todas,9º ano,Matemática,266,82.70999999999999,38.48,56.31,4.32,0.89,5.21,2.36
Nossa Senhora De Lourdes,Todas,9º ano,Matemática,93,76.34,28.29,68.27,3.44,0,3.44,-2.42
Nossa Senhora Do Socorro ,Todas,9º ano,Matemática,1393,76.17,39.6,55.64,4.76,0,4.76,0.45
Pacatuba,Todas,9º ano,Matemática,71,83.09999999999999,49.2,50.8,0,0,0,-3.55
Pedra Mole,Todas,9º ano,Matemática,40,97.5,33.33,56.4,7.7,2.57,10.25,6.83
Pedrinhas,Todas,9º ano,Matemática,90,80,37.33,57.36,3.96,1.35,5.32,0.4
Pinhão,Todas,9º ano,Matemática,75,89.33,29.82,62.67,5.91,1.6,7.51,5.19
