Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Adamantina,Todas,9º ano,Matemática,242,83.47,24.49,56.21,16.58,2.72,19.3,0.99
Adolfo,Todas,9º ano,Matemática,62,88.70999999999999,37.13,50.37,10.82,1.68,12.5,-7.32
Aguaí,Todas,9º ano,Matemática,402,81.34,23.57,57.12,17.24,2.07,19.31,3.02
Águas Da Prata,Todas,9º ano,Matemática,76,85.53,18.59,55.74,22.3,3.37,25.68,10.29
Águas De Lindóia,Todas,9º ano,Matemática,235,89.36,21.73,53.43,21.08,3.76,24.85,-4.87
Águas De Santa Bárbara,Todas,9º ano,Matemática,90,100,20.47,51.11,18.11,10.31,28.42,10.59
Águas De São Pedro,Todas,9º ano,Matemática,67,89.55,11.91,58.07,23.16,6.86,30.03,-3.25
Agudos,Todas,9º ano,Matemática,492,80.28,29.11,56.8,12.45,1.64,14.08,4.6
Alambari,Todas,9º ano,Matemática,93,91.40000000000001,33.9,46.98,18.01,1.11,19.12,5.02
Alfredo Marcondes,Todas,9º ano,Matemática,52,92.31,29.6,36.96,25.08,8.359999999999999,33.44,-1.9
Altair,Todas,9º ano,Matemática,49,85.70999999999999,23.63,67.31,6.8,2.26,9.06,4.59
Altinópolis,Todas,9º ano,Matemática,123,96.75,21.25,60.19,17.32,1.24,18.56,3.01
Alto Alegre,Todas,9º ano,Matemática,50,100,25.58,53.28,19.26,1.88,21.14,9.359999999999999
Alumínio,Todas,9º ano,Matemática,274,81.39,24.61,64.12,11.27,0,11.27,-5.76
Álvares Florence,Todas,9º ano,Matemática,43,86.05,22.13,63.71,11.07,3.09,14.16,0.99
Álvares Machado,Todas,9º ano,Matemática,188,62.23,32.31,58.24,9.449999999999999,0,9.449999999999999,0.93
Álvaro De Carvalho,Todas,9º ano,Matemática,56,87.5,60.96,39.04,0,0,0,-11.04
Alvinlândia,Todas,9º ano,Matemática,63,68.25,45.32,36.19,14.63,3.86,18.49,4.24
Americana,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,18.76,53.77,23.75,3.72,27.47,6.22
Américo Brasiliense,Todas,9º ano,Matemática,535,83.93000000000001,28.94,60.15,10.28,0.63,10.91,-1.13
Américo De Campos,Todas,9º ano,Matemática,97,96.91,25.57,52.1,18.99,3.34,22.33,-9.98
Amparo,Todas,9º ano,Matemática,585,83.76000000000001,22.22,54.95,19.88,2.95,22.83,1.92
Analândia,Todas,9º ano,Matemática,52,69.23,15.42,56.63,25.33,2.62,27.94,3.19
Andradina,Todas,9º ano,Matemática,573,87.78,21.94,56.44,18.65,2.97,21.62,3.95
Angatuba,Todas,9º ano,Matemática,260,89.62,18.02,51.32,26.52,4.14,30.66,6.55
Anhembi,Todas,9º ano,Matemática,80,81.25,34.55,58.68,6.77,0,6.78,-6.17
Anhumas,Todas,9º ano,Matemática,66,83.33,34.45,49.4,12.79,3.36,16.14,-0.77
Aparecida,Todas,9º ano,Matemática,515,90.09999999999999,17.29,63.19,16.96,2.56,19.52,-6.89
Aparecida D'oeste,Todas,9º ano,Matemática,69,86.95999999999999,16.39,61.06,18.27,4.28,22.55,-3.63
Apiaí,Todas,9º ano,Matemática,321,76.01000000000001,22.54,56.77,17.67,3.02,20.7,6.97
Araçariguama,Todas,9º ano,Matemática,245,75.51000000000001,34.29,53.46,10.62,1.63,12.25,0.6899999999999999
Araçatuba,Todas,9º ano,Matemática,2050,83.41,31.59,54.68,12.79,0.9399999999999999,13.73,0.07000000000000001
Araçoiaba Da Serra,Todas,9º ano,Matemática,454,81.72,27.82,52.42,17.65,2.11,19.76,5.48
Aramina,Todas,9º ano,Matemática,82,89.02,34.2,52.24,11.07,2.49,13.56,-15.01
Arandu,Todas,9º ano,Matemática,65,83.08,29.54,51.86,16.63,1.97,18.6,0.57
Arapeí,Todas,9º ano,Matemática,32,87.5,45.46,51.42,0,3.12,3.13,-3.93
Araraquara,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,29.25,53.81,14.67,2.27,16.95,1.46
Araras,Todas,9º ano,Matemática,1201,87.68000000000001,19.25,54.71,21.58,4.46,26.04,-1.82
Arco-Íris,Todas,9º ano,Matemática,28,92.86,38.46,53.86,7.68,0,7.68,-16.12
Arealva,Todas,9º ano,Matemática,99,76.77,19.42,55.98,20.99,3.61,24.6,5.33
Areias,Todas,9º ano,Matemática,62,87.09999999999999,26.62,53.59,19.79,0,19.79,5.97
Areiópolis,Todas,9º ano,Matemática,181,88.95,19.83,60.14,18.77,1.26,20.03,11.72
Ariranha,Todas,9º ano,Matemática,96,86.45999999999999,26.49,57.91,13.16,2.44,15.6,4.31
Artur Nogueira,Todas,9º ano,Matemática,708,83.76000000000001,24.38,58.56,15.38,1.68,17.06,-2.3
Arujá,Todas,9º ano,Matemática,1483,82.2,29.6,55.84,12.8,1.76,14.56,2.1
Aspásia,Todas,9º ano,Matemática,21,100,17.38,47.81,21.76,13.05,34.76,23.7
Assis,Todas,9º ano,Matemática,1081,76.59999999999999,18.14,57.29,21.21,3.36,24.57,4.63
Atibaia,Todas,9º ano,Matemática,985,84.77,21.83,54.56,20.16,3.45,23.61,6.78
Auriflama,Todas,9º ano,Matemática,135,93.33,20.69,53.73,20.72,4.86,25.57,3.14
Avaí,Todas,9º ano,Matemática,65,75.38,53.51,38.54,7.95,0,7.95,-3.51
Avanhandava,Todas,9º ano,Matemática,125,84.8,20.68,65.51000000000001,13.81,0,13.81,1.36
Avaré,Todas,9º ano,Matemática,1070,82.06,24.66,57.47,16.48,1.39,17.88,2.14
Bady Bassitt,Todas,9º ano,Matemática,231,82.25,21.5,52.61,20.02,5.87,25.89,-1.91
Bálsamo,Todas,9º ano,Matemática,103,87.38,31.33,51.6,16.13,0.9399999999999999,17.08,-0.85
Bananal,Todas,9º ano,Matemática,140,82.86,33.02,50.15,12.75,4.08,16.83,2.14
Barão De Antonina,Todas,9º ano,Matemática,61,83.61,28.52,48.61,20.74,2.13,22.87,0.63
Barbosa,Todas,9º ano,Matemática,96,90.63,45.32,52.25,2.43,0,2.43,-6.86
Bariri,Todas,9º ano,Matemática,353,92.06999999999999,20.56,47.55,25.49,6.4,31.89,7.57
Barra Bonita,Todas,9º ano,Matemática,314,84.39,30.23,53.96,14.31,1.5,15.81,-0.9
Barra Do Chapéu,Todas,9º ano,Matemática,62,85.48,26.39,60.42,13.19,0,13.19,0.73
Barra Do Turvo,Todas,9º ano,Matemática,121,81.81999999999999,36.47,51.86,11.67,0,11.67,7.61
Barretos,Todas,9º ano,Matemática,1112,83.63,24.68,57.46,15.6,2.26,17.86,2.26
Barrinha,Todas,9º ano,Matemática,461,86.77,28.09,57.34,13.65,0.92,14.57,0.45
Barueri,Todas,9º ano,Matemática,5064,87.73999999999999,15.27,58.18,22.63,3.92,26.54,5.55
Bastos,Todas,9º ano,Matemática,303,84.16,19.99,55.77,18.15,6.09,24.24,6.63
Batatais,Todas,9º ano,Matemática,689,88.09999999999999,22.78,56.21,18.02,2.99,21.01,5.87
Bauru,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,32.73,51.99,13.72,1.56,15.28,3.97
Bebedouro,Todas,9º ano,Matemática,839,82.36,30.46,54.05,13.27,2.22,15.49,4.8
Bento De Abreu,Todas,9º ano,Matemática,30,93.33,21.43,64.28,14.29,0,14.3,9.109999999999999
Bernardino De Campos,Todas,9º ano,Matemática,127,81.09999999999999,14.6,68.31999999999999,16.13,0.95,17.09,-6.33
Bertioga,Todas,9º ano,Matemática,966,84.47,33.48,57.04,8.75,0.73,9.48,4.15
Bilac,Todas,9º ano,Matemática,93,87.09999999999999,18.97,58.84,19.53,2.66,22.19,5.1
Birigui,Todas,9º ano,Matemática,950,84.73999999999999,18.62,57.58,20.08,3.72,23.81,2.03
Biritiba-Mirim,Todas,9º ano,Matemática,498,75.5,31.35,53.99,12.56,2.1,14.65,7.14
Boa Esperança Do Sul,Todas,9º ano,Matemática,229,86.03,35.68,60.92,3.4,0,3.4,-5.16
Bocaina,Todas,9º ano,Matemática,149,75.84,40.92,48.54,9.710000000000001,0.83,10.53,-5.68
Bofete,Todas,9º ano,Matemática,110,81.81999999999999,28.93,54.63,15.57,0.87,16.44,3.27
Boituva,Todas,9º ano,Matemática,742,90.84,20.84,53.4,22.99,2.77,25.76,10.29
Bom Jesus Dos Perdões,Todas,9º ano,Matemática,336,88.09999999999999,27.24,59.69,11.98,1.09,13.07,-3.77
Bom Sucesso De Itararé,Todas,9º ano,Matemática,104,84.62,35.4,50.07,13.34,1.19,14.53,-2.58
Boracéia,Todas,9º ano,Matemática,41,100,15.34,62.27,19.85,2.54,22.39,-11.43
Borborema,Todas,9º ano,Matemática,170,95.29000000000001,20.99,57.61,20.16,1.24,21.4,1.8
Borebi,Todas,9º ano,Matemática,56,80.36,37.3,45.5,12.97,4.23,17.2,8.44
Botucatu,Todas,9º ano,Matemática,1325,80.59999999999999,30.71,52.55,14.07,2.67,16.74,5.66
Bragança Paulista,Todas,9º ano,Matemática,1844,81.40000000000001,23.56,58.25,16.26,1.93,18.19,5.53
Braúna,Todas,9º ano,Matemática,69,95.65000000000001,29.59,45.15,20.62,4.64,25.28,19
Brejo Alegre,Todas,9º ano,Matemática,57,84.20999999999999,49.18,41.82,7.19,1.81,9,-12.2
Brodowski,Todas,9º ano,Matemática,296,75,24.38,60.09,14.08,1.45,15.53,0.06
Brotas,Todas,9º ano,Matemática,312,75.64,22.49,56.62,15.38,5.51,20.89,3.45
Buri,Todas,9º ano,Matemática,307,79.8,25.36,60.33,13.5,0.8100000000000001,14.31,2.97
Buritama,Todas,9º ano,Matemática,183,67.76000000000001,18.47,59.24,16.04,6.25,22.29,3.73
Buritizal,Todas,9º ano,Matemática,50,88,8.9,66.3,19.96,4.84,24.8,-5.96
Cabrália Paulista,Todas,9º ano,Matemática,81,79.01000000000001,39.22,51.27,8.01,1.5,9.51,-10.16
Cabreúva,Todas,9º ano,Matemática,830,82.89,29.2,55.76,12.73,2.31,15.04,-1.41
Caçapava,Todas,9º ano,Matemática,881,79.45999999999999,27.98,56.86,13.9,1.26,15.16,5.21
Cachoeira Paulista,Todas,9º ano,Matemática,254,87.01000000000001,22.97,60.68,14.74,1.61,16.35,5.28
Caconde,Todas,9º ano,Matemática,299,91.3,21.29,61.19,14.66,2.86,17.52,-1.6
Cafelândia,Todas,9º ano,Matemática,182,69.23,32.23,52.41,14.13,1.23,15.36,-0.49
Caiabu,Todas,9º ano,Matemática,46,80.43000000000001,43.85,42.56,10.48,3.11,13.59,-2.51
