Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Abreulândia,Todas,9º ano,Matemática,50,88,53.26,41.64,5.1,0,5.1,-1.9
Aguiarnópolis,Todas,9º ano,Matemática,101,70.3,43.78,54.62,1.6,0,1.59,-1.79
Aliança Do Tocantins,Todas,9º ano,Matemática,95,85.26000000000001,17.18,60.4,19.97,2.45,22.41,-3.13
Almas,Todas,9º ano,Matemática,113,81.42,38.81,54.68,6.51,0,6.5,2.4
Alvorada,Todas,9º ano,Matemática,122,86.89,23.98,59.28,16.74,0,16.74,-2.82
Ananás,Todas,9º ano,Matemática,146,80.14,34.01,57.57,7.65,0.77,8.42,2.88
Angico,Todas,9º ano,Matemática,54,88.89,25.87,68.09,6.04,0,6.04,4.08
Aparecida Do Rio Negro,Todas,9º ano,Matemática,90,85.56,40.38,57.28,2.34,0,2.34,-8.630000000000001
Aragominas,Todas,9º ano,Matemática,97,75.26000000000001,53.66,44.87,1.47,0,1.47,-2.22
Araguacema,Todas,9º ano,Matemática,88,75,47.23,45.38,7.39,0,7.39,0.73
Araguaçu,Todas,9º ano,Matemática,116,93.97,22.9,54.34,20.99,1.77,22.76,4.2
Araguaína,Todas,9º ano,Matemática,2297,80.84,35.18,54.17,9.720000000000001,0.93,10.65,2.49
Araguanã,Todas,9º ano,Matemática,83,85.54000000000001,49.59,49.16,1.25,0,1.25,-1.42
Araguatins,Todas,9º ano,Matemática,396,83.33,33.9,55.05,10.75,0.3,11.05,4.01
Arapoema,Todas,9º ano,Matemática,127,74.02,40.56,48.15,10.04,1.25,11.29,4.46
Arraias,Todas,9º ano,Matemática,136,86.76000000000001,42.86,52.97,3.43,0.74,4.17,-3.43
Augustinópolis,Todas,9º ano,Matemática,267,90.64,41.08,48.22,9.43,1.27,10.71,-1.32
Aurora Do Tocantins,Todas,9º ano,Matemática,51,94.12,27.08,62.43,10.49,0,10.49,-5.06
Axixá Do Tocantins,Todas,9º ano,Matemática,210,83.81,49.46,45.4,5.14,0,5.14,2.99
Babaçulândia,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,38.97,55.15,5.88,0,5.88,3.79
